description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,11337,4941
CHEST PAIN,313,10099,3318
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,16649,5823
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,19234,7117
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,14377,4350
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,13072,4322
HEART FAILURE & SHOCK W CC,292,17574,6214
HEART FAILURE & SHOCK W/O CC/MCC,293,11953,4133
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,9916,4112
RED BLOOD CELL DISORDERS W/O MCC,812,14451,4817
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,23789,9709
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,13520,6510
SIGNS & SYMPTOMS W/O MCC,948,12698,3984
SIMPLE PNEUMONIA & PLEURISY W CC,194,18649,6049
SIMPLE PNEUMONIA & PLEURISY W MCC,193,29118,8923
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,12856,4167
SYNCOPE & COLLAPSE,312,8609,4282
