description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,20591,10945
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,41075,19851
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,16651,7608
ATHEROSCLEROSIS W/O MCC,303,8984,5677
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,31380,9707
BRONCHITIS & ASTHMA W CC/MCC,202,19114,8947
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,12178,8074
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,18814,12011
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11034,5940
CELLULITIS W MCC,602,27007,14905
CELLULITIS W/O MCC,603,15392,8477
CERVICAL SPINAL FUSION W/O CC/MCC,473,62090,22530
CHEST PAIN,313,10127,5243
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,18886,9512
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,26266,11992
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,13000,7167
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,54156,24760
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,27997,10928
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,18424,9163
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,17187,9481
DIABETES W CC,638,16997,8708
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,17208,10257
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,29277,13970
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,15792,7327
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,24844,9314
G.I. HEMORRHAGE W CC,378,24044,10412
G.I. HEMORRHAGE W MCC,377,37536,18160
G.I. OBSTRUCTION W CC,389,21112,9633
G.I. OBSTRUCTION W/O CC/MCC,390,12754,6681
HEART FAILURE & SHOCK W CC,292,15035,9846
HEART FAILURE & SHOCK W MCC,291,28120,14442
HEART FAILURE & SHOCK W/O CC/MCC,293,9478,6692
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,50948,19139
HYPERTENSION W/O MCC,305,11402,5931
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,126623,61389
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,25698,10984
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,47951,20641
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,19602,8280
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,19275,11346
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13852,7567
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,71274,27970
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,19937,12539
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,48013,19484
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,68405,27059
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,121381,58540
MEDICAL BACK PROBLEMS W/O MCC,552,14274,7854
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,25007,11743
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13565,7025
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,19613,9775
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,31274,17954
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,20393,10290
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,17780,9999
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,30292,16739
OTHER VASCULAR PROCEDURES W CC,253,58482,23502
OTHER VASCULAR PROCEDURES W MCC,252,47027,27127
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,34994,14338
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,69513,31912
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,45419,17440
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,40646,16049
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,60610,18660
PERIPHERAL VASCULAR DISORDERS W CC,300,19569,9506
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,50601,23718
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,38902,18318
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,26773,14269
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,13217,6195
PSYCHOSES,885,20708,10609
PULMONARY EDEMA & RESPIRATORY FAILURE,189,33154,13905
PULMONARY EMBOLISM W/O MCC,176,16773,10340
RED BLOOD CELL DISORDERS W MCC,811,25509,12959
RED BLOOD CELL DISORDERS W/O MCC,812,16823,8253
RENAL FAILURE W CC,683,17544,10446
