description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,17096,6686
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,29246,10047
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,17834,5247
CELLULITIS W/O MCC,603,14985,5883
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,16515,6026
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,18689,6629
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,14010,5116
DIABETES W CC,638,12934,4922
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,16614,4785
G.I. HEMORRHAGE W CC,378,26602,6334
HEART FAILURE & SHOCK W CC,292,15464,7110
HEART FAILURE & SHOCK W MCC,291,20113,8470
HEART FAILURE & SHOCK W/O CC/MCC,293,9124,4312
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,17647,6226
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,15048,6355
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,16285,4940
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,43460,13401
PSYCHOSES,885,6817,5548
PULMONARY EDEMA & RESPIRATORY FAILURE,189,23208,7568
RENAL FAILURE W CC,683,17908,6100
RENAL FAILURE W MCC,682,21514,9761
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,47802,12420
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,25851,10711
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,18214,6683
SIMPLE PNEUMONIA & PLEURISY W CC,194,26219,6475
SIMPLE PNEUMONIA & PLEURISY W MCC,193,27679,9042
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,14235,4490
