city,avgCoveredCharges,averagePayments
AIKEN,35692,12186
ANDERSON,71484,11527
BEAUFORT,50078,12570
CAMDEN,45546,10773
CHARLESTON,56310,12600
COLUMBIA,51954,13485
CONWAY,40982,12050
EASLEY,50233,11191
FLORENCE,67721,11697
GAFFNEY,44242,10390
GEORGETOWN,39152,11775
GREENVILLE,53321,11448
GREENWOOD,54389,16998
GREER,39953,10724
HILTON HEAD ISL,51506,16198
LANCASTER,71007,11100
LORIS,30526,11175
MOUNT PLEASANT,60256,10277
MURRELLS INLET,39631,9338
MYRTLE BEACH,61316,9949
ORANGEBURG,55443,13195
ROCK HILL,31619,11510
SENECA,41007,10640
SIMPSONVILLE,40561,11090
SPARTANBURG,43654,12607
SUMTER,48787,12172
WALTERBORO,60076,11547
WEST COLUMBIA,48528,10433
