city,avgCoveredCharges,averagePayments
AIKEN,21161,5308
ANDERSON,28033,5549
BEAUFORT,15866,5533
CAMDEN,14458,4658
CHARLESTON,21038,5999
CHESTER,12415,5155
CLINTON,17688,5719
COLUMBIA,23790,6569
CONWAY,14278,5301
DILLON,12934,4922
FLORENCE,28898,5260
GAFFNEY,28542,4895
GEORGETOWN,13204,5630
GREENVILLE,24359,5468
GREENWOOD,17442,6752
HARTSVILLE,17948,5374
LANCASTER,35683,4831
LORIS,16064,5194
MULLINS,16470,4776
MURRELLS INLET,13694,4611
MYRTLE BEACH,15913,4607
ORANGEBURG,14369,5672
ROCK HILL,19878,5149
SENECA,15319,4799
SPARTANBURG,25248,5427
SUMTER,9781,5062
WEST COLUMBIA,26076,4748
