city,avgCoveredCharges,averagePayments
AIKEN,31504,8995
ANDERSON,51706,9267
BAMBERG,9144,9065
BARNWELL,9538,6953
BEAUFORT,25435,8251
BENNETTSVILLE,18858,5433
CAMDEN,23318,6638
CHARLESTON,39336,10337
CHERAW,30191,5541
CHESTER,16408,6454
CLINTON,27925,8226
COLUMBIA,44169,11024
CONWAY,26896,7748
DARLINGTON,19019,6028
DILLON,20466,7153
EASLEY,35642,8664
FLORENCE,47034,9125
GAFFNEY,25316,6036
GEORGETOWN,24651,7973
GREENVILLE,42817,10405
GREENWOOD,38930,12163
GREER,28063,9337
HARDEEVILLE,16457,5168
HARTSVILLE,25236,6739
HILTON HEAD ISL,29532,9198
LAKE CITY,10149,6474
LANCASTER,45426,6538
LORIS,30409,9909
MANNING,21146,7950
MOUNT PLEASANT,56803,10421
MULLINS,18576,5389
MURRELLS INLET,23183,6205
MYRTLE BEACH,40012,7541
NEWBERRY,21826,8210
ORANGEBURG,37292,10474
PICKENS,14580,5054
ROCK HILL,28293,8778
SENECA,26064,7384
SIMPSONVILLE,23321,7867
SPARTANBURG,33292,9127
SUMTER,19709,7555
UNION,19510,6073
VARNVILLE,13872,5941
WALTERBORO,27599,7405
WEST COLUMBIA,39512,8317
