description,code,avgCoveredCharges,averagePayments
ATHEROSCLEROSIS W/O MCC,303,10267,3459
BRONCHITIS & ASTHMA W CC/MCC,202,15182,4743
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19943,4780
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,25142,6985
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,15047,3181
CELLULITIS W/O MCC,603,19010,4550
CHEST PAIN,313,15837,3035
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,21859,5529
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,29091,6567
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,20163,4066
DIABETES W CC,638,28542,4895
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,15555,4012
G.I. HEMORRHAGE W CC,378,22566,5361
HEART FAILURE & SHOCK W CC,292,23393,5728
HEART FAILURE & SHOCK W MCC,291,32032,8288
HEART FAILURE & SHOCK W/O CC/MCC,293,17421,3883
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,44242,10390
HYPERTENSION W/O MCC,305,16842,3434
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,20754,6103
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,30269,6807
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,19858,4392
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,51102,11671
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,19134,3829
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,10823,3449
PULMONARY EDEMA & RESPIRATORY FAILURE,189,23205,7179
RED BLOOD CELL DISORDERS W/O MCC,812,18346,4402
RENAL FAILURE W CC,683,25999,5598
RENAL FAILURE W MCC,682,32307,8696
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,48766,11102
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,44675,11038
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,27165,6140
SIMPLE PNEUMONIA & PLEURISY W CC,194,25470,5665
SIMPLE PNEUMONIA & PLEURISY W MCC,193,33915,7903
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,20374,3965
SYNCOPE & COLLAPSE,312,14957,4014
