description,code,avgCoveredCharges,averagePayments
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,33846,10513
CELLULITIS W/O MCC,603,18416,8940
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,18470,8360
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,13523,5894
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,17596,7611
G.I. HEMORRHAGE W CC,378,16834,7710
HEART FAILURE & SHOCK W CC,292,18492,9243
HEART FAILURE & SHOCK W MCC,291,23301,11755
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13149,6427
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,44649,16930
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13433,6250
PULMONARY EDEMA & RESPIRATORY FAILURE,189,24322,10073
RENAL FAILURE W CC,683,15869,7949
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,42032,18021
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,17738,9160
SIMPLE PNEUMONIA & PLEURISY W MCC,193,29283,11904
