city,avgCoveredCharges,averagePayments
BARTLETT,31882,5618
BRISTOL,14589,5572
CHATTANOOGA,25595,6055
CLARKSVILLE,24448,5999
CLEVELAND,32330,5760
COLUMBIA,12262,6004
COOKEVILLE,14647,5944
CROSSVILLE,15193,5772
DICKSON,29459,5922
DYERSBURG,33847,5456
ETOWAH,9324,5213
FAYETTEVILLE,9623,5858
FRANKLIN,18415,5516
GALLATIN,22274,6225
GREENEVILLE,14800,5638
HENDERSONVILLE,30653,5903
HERMITAGE,23656,5883
JACKSON,13113,6104
JAMESTOWN,21632,5527
JEFFERSON CITY,13144,4814
JELLICO,11636,7164
JOHNSON CITY,21551,6154
KINGSPORT,16581,5681
KNOXVILLE,16820,5709
LAWRENCEBURG,15588,5076
LEBANON,31784,6304
LENOIR CITY,9399,4755
LIVINGSTON,18092,5695
MANCHESTER,9625,5424
MARTIN,34226,5646
MARYVILLE,17044,5376
MC MINNVILLE,21640,5924
MEMPHIS,26600,6967
MORRISTOWN,23694,5833
MURFREESBORO,19210,6052
NASHVILLE,23125,6520
OAK RIDGE,14804,5243
PARIS,15463,5190
SAVANNAH,13021,7044
SMYRNA,23373,7385
SPRINGFIELD,15304,6281
SWEETWATER,20168,6246
TULLAHOMA,21194,5640
UNION CITY,15424,5392
WINCHESTER,23435,5666
