city,avgCoveredCharges,averagePayments
ATHENS,18128,5849
BARTLETT,44652,7568
BOLIVAR,5985,7442
BRISTOL,22346,7302
BROWNSVILLE,8100,5347
CARTHAGE,16202,5938
CELINA,7434,6338
CHATTANOOGA,32054,8799
CLARKSVILLE,33172,7440
CLEVELAND,32554,6148
COLUMBIA,19642,8745
COOKEVILLE,18887,8393
COVINGTON,15224,7665
CROSSVILLE,20807,6984
DICKSON,28522,7719
DYERSBURG,32644,5650
ELIZABETHTON,22294,5732
ERWIN,9146,6435
ETOWAH,13007,5375
FAYETTEVILLE,11314,6042
FRANKLIN,25608,7962
GALLATIN,24575,7639
GREENEVILLE,17414,6476
HARRIMAN,11617,5886
HENDERSONVILLE,38154,7622
HERMITAGE,36768,8083
HUMBOLDT,6736,4714
HUNTINGDON,11986,4512
JACKSON,25964,8758
JAMESTOWN,17047,5140
JASPER,19482,5663
JEFFERSON CITY,17986,5421
JELLICO,12346,7429
JOHNSON CITY,39266,8762
KINGSPORT,26808,7908
KNOXVILLE,28575,8669
LA FOLLETTE,17720,5985
LAWRENCEBURG,17992,5365
LEBANON,37781,8116
LENOIR CITY,15251,5944
LEXINGTON,26798,5271
LINDEN,8375,5129
LIVINGSTON,17721,5592
MANCHESTER,9041,6509
MARTIN,25299,5311
MARYVILLE,27092,6599
MC KENZIE,22195,4655
MC MINNVILLE,26849,6576
MEMPHIS,37601,10006
MILAN,5726,3880
MORRISTOWN,22678,6633
MURFREESBORO,24920,7511
NASHVILLE,38274,10140
NEWPORT,16371,6411
OAK RIDGE,26138,8240
PARIS,20002,6648
PARSONS,5747,5382
PULASKI,16103,6799
ROGERSVILLE,14789,8377
SAVANNAH,13238,7511
SELMER,21050,5071
SEVIERVILLE,20933,7127
SHELBYVILLE,17999,5165
SMITHVILLE,11740,7565
SMYRNA,27777,8476
SOMERVILLE,18651,4435
SPARTA,25485,7904
SPRINGFIELD,20069,7849
SWEETWATER,17059,5751
TAZEWELL,13356,6533
TRENTON,6352,4231
TULLAHOMA,31399,6963
UNION CITY,13199,5585
WAYNESBORO,8490,5464
WINCHESTER,20955,5883
WOODBURY,12415,9760
