description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,17201,3505
CELLULITIS W/O MCC,603,25721,4849
CHEST PAIN,313,22104,3860
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,29901,5719
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,33932,7078
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,24062,4310
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,38082,6926
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,33795,4865
G.I. HEMORRHAGE W CC,378,30653,5903
G.I. OBSTRUCTION W CC,389,20644,5052
HEART FAILURE & SHOCK W CC,292,26293,5651
HEART FAILURE & SHOCK W MCC,291,47590,8734
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,61739,11005
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,32690,6931
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,23246,4493
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,56861,9812
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,38734,10623
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,63895,14054
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,154053,32157
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,21000,4189
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,15609,3542
PULMONARY EDEMA & RESPIRATORY FAILURE,189,30088,7396
PULMONARY EMBOLISM W/O MCC,176,24024,6320
RENAL FAILURE W CC,683,27365,6032
RENAL FAILURE W MCC,682,37359,9337
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,69340,11461
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,73782,20334
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,61736,11782
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,40832,7694
SIGNS & SYMPTOMS W/O MCC,948,31769,6633
SIMPLE PNEUMONIA & PLEURISY W CC,194,33054,6279
SIMPLE PNEUMONIA & PLEURISY W MCC,193,47139,8490
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,23322,4605
SYNCOPE & COLLAPSE,312,26672,4215
