description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,82406,14033
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,34740,5717
BRONCHITIS & ASTHMA W CC/MCC,202,16964,4858
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19490,5053
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,19736,7116
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,13602,3545
CELLULITIS W/O MCC,603,23295,5042
CERVICAL SPINAL FUSION W/O CC/MCC,473,42682,13143
CHEST PAIN,313,16384,3756
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,28965,5456
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,33363,6636
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,24954,4566
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,34070,6396
DIABETES W CC,638,16180,4690
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,23281,5565
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,21675,4363
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,36222,6322
FRACTURES OF HIP & PELVIS W/O MCC,536,15685,3866
G.I. HEMORRHAGE W CC,378,23656,5883
G.I. OBSTRUCTION W/O CC/MCC,390,19172,3573
HEART FAILURE & SHOCK W CC,292,27697,6816
HEART FAILURE & SHOCK W MCC,291,35056,8622
HEART FAILURE & SHOCK W/O CC/MCC,293,16797,4130
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,52340,11226
HYPERTENSION W/O MCC,305,16702,3721
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,37412,6365
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,43016,10538
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,33934,4848
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,29638,6728
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,20301,4506
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,27165,6155
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,84124,17617
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,65222,14175
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,84839,16467
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,191850,34283
MEDICAL BACK PROBLEMS W/O MCC,552,26504,4567
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,18721,6412
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,17882,3883
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,48652,11760
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,26735,5732
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,22587,6304
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,52673,9315
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,63987,13999
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,44779,8799
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,19763,3757
PSYCHOSES,885,24575,5316
PULMONARY EDEMA & RESPIRATORY FAILURE,189,39332,7921
PULMONARY EMBOLISM W/O MCC,176,23488,5966
RED BLOOD CELL DISORDERS W/O MCC,812,23013,4942
RENAL FAILURE W CC,683,26407,6044
RENAL FAILURE W MCC,682,37829,9459
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,45834,8465
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,57489,12927
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,191771,34438
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,82588,15509
SEIZURES W/O MCC,101,21921,4344
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,47733,11847
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,25628,6594
SIGNS & SYMPTOMS W/O MCC,948,18920,3959
SIMPLE PNEUMONIA & PLEURISY W CC,194,27164,6218
SIMPLE PNEUMONIA & PLEURISY W MCC,193,41163,12080
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,23382,4107
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,84125,23522
SYNCOPE & COLLAPSE,312,19626,4136
TRANSIENT ISCHEMIA,069,29374,4564
