description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,44719,10026
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,18219,4663
CELLULITIS W/O MCC,603,19467,4652
CHEST PAIN,313,16012,3199
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,19503,5667
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,20146,6430
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,15676,4264
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,36147,6019
DIABETES W CC,638,13720,4830
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,27724,5610
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,17416,4053
G.I. HEMORRHAGE W CC,378,21767,5690
G.I. OBSTRUCTION W CC,389,16274,5240
HEART FAILURE & SHOCK W CC,292,16378,5496
HEART FAILURE & SHOCK W MCC,291,32597,8073
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,58488,10268
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,29004,6382
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,22475,6599
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,15210,4366
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,81120,16738
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,75700,14003
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,74476,16404
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,10765,3728
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,73906,12074
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,14927,3484
PULMONARY EDEMA & RESPIRATORY FAILURE,189,37226,7617
RENAL FAILURE W CC,683,19809,5880
RENAL FAILURE W MCC,682,35489,8595
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,29293,7732
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,48267,11341
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,47533,10830
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,24401,6322
SIMPLE PNEUMONIA & PLEURISY W CC,194,20611,5744
SIMPLE PNEUMONIA & PLEURISY W MCC,193,36452,8024
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,14782,3982
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,196779,31546
SYNCOPE & COLLAPSE,312,17345,4005
