description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,20858,6478
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,30802,10807
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,20288,4681
ATHEROSCLEROSIS W/O MCC,303,11162,3407
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,23038,7007
BRONCHITIS & ASTHMA W CC/MCC,202,14076,5112
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,13376,4871
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,21842,7028
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11526,3423
CELLULITIS W MCC,602,22545,8082
CELLULITIS W/O MCC,603,14503,4808
CHEST PAIN,313,12956,3215
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,16809,5683
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,21400,6941
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,13888,4269
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,33003,12223
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,24079,6715
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,32420,5621
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,14754,5224
DIABETES W CC,638,12915,4673
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,16766,6042
DYSEQUILIBRIUM,149,12637,3737
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,20502,6944
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14589,4280
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,25552,6652
FRACTURES OF HIP & PELVIS W/O MCC,536,13642,4102
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,12299,4182
G.I. HEMORRHAGE W CC,378,19210,6052
G.I. HEMORRHAGE W MCC,377,25860,9892
G.I. HEMORRHAGE W/O CC/MCC,379,13809,4177
G.I. OBSTRUCTION W CC,389,16685,5454
G.I. OBSTRUCTION W/O CC/MCC,390,10056,3724
HEART FAILURE & SHOCK W CC,292,15517,5754
HEART FAILURE & SHOCK W MCC,291,25298,8426
HEART FAILURE & SHOCK W/O CC/MCC,293,12931,4009
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,39027,10829
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,62782,17382
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,31353,8777
HYPERTENSION W/O MCC,305,12001,3652
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,24012,6698
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,28283,10861
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,16914,4669
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,23290,6966
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,15194,4538
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,35057,10185
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,77199,17699
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,21627,7468
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,61294,18682
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,44960,12622
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,45591,15862
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,100800,29440
MEDICAL BACK PROBLEMS W/O MCC,552,14510,4584
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,20842,6500
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11996,4028
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,15049,5801
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,30265,10430
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,16933,5936
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,14003,5582
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,30730,8715
OTHER VASCULAR PROCEDURES W CC,253,64896,15254
OTHER VASCULAR PROCEDURES W MCC,252,44827,18552
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,53648,10077
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,72660,22042
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,60234,12374
PERIPHERAL VASCULAR DISORDERS W CC,300,12265,5649
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,52189,15486
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,27797,8109
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,11367,3619
PULMONARY EDEMA & RESPIRATORY FAILURE,189,26274,7397
PULMONARY EMBOLISM W/O MCC,176,18363,5861
RED BLOOD CELL DISORDERS W MCC,811,25015,7584
RED BLOOD CELL DISORDERS W/O MCC,812,15684,4692
RENAL FAILURE W CC,683,16620,5831
RENAL FAILURE W MCC,682,32756,9900
RENAL FAILURE W/O CC/MCC,684,11171,3851
