description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,14881,4912
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,18712,7776
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,11185,3892
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,14297,4196
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10025,2877
CELLULITIS W/O MCC,603,12565,4251
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,15035,4866
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,16646,5792
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11924,3617
DIABETES W CC,638,17238,4176
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,13049,3662
FRACTURES OF HIP & PELVIS W/O MCC,536,11632,3651
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,9068,3628
G.I. HEMORRHAGE W CC,378,15463,5190
G.I. HEMORRHAGE W MCC,377,26862,7966
G.I. OBSTRUCTION W/O CC/MCC,390,10314,3148
HEART FAILURE & SHOCK W CC,292,14584,5059
HEART FAILURE & SHOCK W MCC,291,18509,6975
HEART FAILURE & SHOCK W/O CC/MCC,293,10156,3475
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,28147,9473
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,43498,15863
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,26011,7781
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,14953,5433
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,17375,8192
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,12065,4004
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,16010,6037
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,11926,4000
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,51234,15720
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,42618,15910
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,34864,10941
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,28571,12996
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,14525,5570
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,14410,3543
OTHER VASCULAR PROCEDURES W CC,253,25971,12174
PERIPHERAL VASCULAR DISORDERS W CC,300,10186,4689
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,8959,3138
PULMONARY EDEMA & RESPIRATORY FAILURE,189,22294,6510
RED BLOOD CELL DISORDERS W/O MCC,812,12784,4038
RENAL FAILURE W CC,683,13409,5120
RENAL FAILURE W MCC,682,21479,7537
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,22935,7150
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,38489,10381
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,33439,10502
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,26312,8849
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,13445,5209
SIMPLE PNEUMONIA & PLEURISY W CC,194,16294,5081
SIMPLE PNEUMONIA & PLEURISY W MCC,193,27900,7545
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,13388,3732
