description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,25735,6406
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,43670,10912
ATHEROSCLEROSIS W/O MCC,303,16308,3431
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,18887,5716
BRONCHITIS & ASTHMA W CC/MCC,202,18133,4534
BRONCHITIS & ASTHMA W/O CC/MCC,203,11796,3280
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19675,4614
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,30808,6761
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11782,3254
CELLULITIS W MCC,602,26737,7543
CELLULITIS W/O MCC,603,17327,4628
CERVICAL SPINAL FUSION W/O CC/MCC,473,36946,11725
CHEST PAIN,313,14928,3099
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,23777,5252
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,25868,6418
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,19304,3864
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,38918,11746
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,28022,6032
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,30991,4637
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,34496,5556
DIABETES W CC,638,15470,5024
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,21745,5494
DYSEQUILIBRIUM,149,14448,3443
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,23209,6214
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,16650,4189
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,18250,5726
FRACTURES OF HIP & PELVIS W/O MCC,536,11895,3631
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,14095,3717
G.I. HEMORRHAGE W CC,378,20288,5516
G.I. HEMORRHAGE W MCC,377,30664,9187
G.I. HEMORRHAGE W/O CC/MCC,379,15031,3847
G.I. OBSTRUCTION W CC,389,26925,5309
G.I. OBSTRUCTION W/O CC/MCC,390,13348,3463
HEART FAILURE & SHOCK W CC,292,21451,5593
HEART FAILURE & SHOCK W MCC,291,30295,8228
HEART FAILURE & SHOCK W/O CC/MCC,293,14273,3865
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,35548,9839
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,55163,15420
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,29000,8393
HYPERTENSION W/O MCC,305,14889,3365
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,94766,28515
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,21776,6144
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,32176,9560
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,18400,4353
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,22906,6084
