providerName,providerNationalID,avgCoveredCharges,averagePayments
BAYLOR UNIVERSITY MEDICAL CENTER,450021,17052,6267
DALLAS MEDICAL CENTER,450379,20468,4754
DOCTORS HOSPITAL,450678,38800,4635
MEDICAL CITY DALLAS HOSPITAL,450647,39718,5008
METHODIST CHARLTON MEDICAL CENTER,450723,19926,5068
METHODIST DALLAS MEDICAL CENTER,450051,17074,6520
PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,31027,9203
SOUTH HAMPTON COMMUNITY HOSPITAL,670002,26249,6031
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,450462,23893,5108
UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,17419,5820
UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY,450766,16880,5905
