providerName,providerNationalID,avgCoveredCharges,averagePayments
BAYLOR HEART AND VASCULAR HOSPITAL,450851,30526,9983
BAYLOR MEDICAL CENTER AT UPTOWN,450422,41715,16692
BAYLOR UNIVERSITY MEDICAL CENTER,450021,34713,11843
DALLAS MEDICAL CENTER,450379,38851,7115
DOCTORS HOSPITAL,450678,61536,7972
MEDICAL CITY DALLAS HOSPITAL,450647,76346,10896
METHODIST CHARLTON MEDICAL CENTER,450723,33378,9524
METHODIST DALLAS MEDICAL CENTER,450051,38857,13002
NORTH CENTRAL SURGICAL CENTER LLP,670049,37821,14223
PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,39752,14577
PINE CREEK MEDICAL CENTER LLP,450894,71526,15658
SOUTH HAMPTON COMMUNITY HOSPITAL,670002,34417,8035
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,450462,40272,9923
UT SOUTHWESTERN UNIVERSITY HOSPITAL,450044,47266,13041
UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY,450766,31969,10283
