city,avgCoveredCharges,averagePayments
ABILENE,80693,14990
AMARILLO,47940,14782
ARLINGTON,100004,15360
AUSTIN,70760,15869
BAYTOWN,97142,16160
BEAUMONT,60723,13993
BEDFORD,59366,14807
BRYAN,59564,14856
COLLEGE STATION,98570,17186
CONROE,105047,14993
CORPUS CHRISTI,93807,15986
DALLAS,71836,17671
DENISON,67855,15511
DENTON,97843,15141
EDINBURG,71747,19645
EL PASO,110821,16158
FORT WORTH,73927,16211
FREDERICKSBURG,36571,14399
GALVESTON,53293,30670
GARLAND,48934,15364
GROVES,67266,12738
HARLINGEN,70475,17722
HOUSTON,77209,18729
KERRVILLE,33058,14129
KINGWOOD,95910,15904
LAREDO,148407,18868
LONGVIEW,56453,14016
LUBBOCK,84654,17828
LUFKIN,91864,13097
MCALLEN,72286,18208
MCKINNEY,100050,14307
MESQUITE,87354,14605
MIDLAND,36294,14505
NORTH RICHLAND,96714,14170
ODESSA,53168,17878
PARIS,64141,14538
PASADENA,101006,17770
PLANO,66458,14691
PORT ARTHUR,72786,14258
RICHMOND,102605,18678
SAN ANGELO,54108,13978
SAN ANTONIO,71031,16211
SHERMAN,42782,13615
SUGAR LAND,67479,14121
TEMPLE,48765,18433
TEXARKANA,47662,14026
TEXAS CITY,83880,14819
THE WOODLANDS,55769,14963
TOMBALL,48532,13838
TYLER,77867,13283
WACO,52353,14047
WEBSTER,94876,14700
WICHITA FALLS,79505,18730
