city,avgCoveredCharges,averagePayments
ABILENE,47012,8995
ADDISON,26091,12670
ALICE,36155,6053
ALLEN,26670,6870
AMARILLO,36117,9428
ANDREWS,11496,7884
ANGLETON,15183,7028
ANSON,8489,6204
ARANSAS PASS,15187,6990
ARLINGTON,53757,10135
ATHENS,39083,6631
ATLANTA,12659,5251
AUSTIN,47863,9711
AZLE,17627,6567
BAY CITY,17432,6336
BAYTOWN,58593,10474
BEAUMONT,39840,8739
BEDFORD,35094,8192
BEEVILLE,31722,7729
BELLAIRE,58599,12438
BELLVILLE,8520,5589
BIG SPRING,30711,6235
BOWIE,17383,6001
BRECKENRIDGE,8444,5075
BRENHAM,22337,7796
BRIDGEPORT,17513,5340
BROWNFIELD,7490,6578
BROWNSVILLE,71405,11732
BROWNWOOD,33895,6334
BRYAN,41612,9370
CAMERON,7269,5608
CARRIZO SPRINGS,8093,5250
CARROLLTON,32605,9138
CARTHAGE,21653,5217
CEDAR PARK,29822,5967
CENTER,14667,5219
CHILDRESS,10960,6219
CLARKSVILLE,26312,4688
CLEBURNE,27324,6787
CLEVELAND,51321,6498
CLIFTON,14008,6336
COLLEGE STATION,58318,8496
COLUMBUS,12461,8350
COMANCHE,11588,5321
CONROE,65052,9400
CORPUS CHRISTI,54142,9789
CORSICANA,27010,6298
CROCKETT,25055,5514
CUERO,10843,5614
CYPRESS,80053,9725
DALLAS,45428,11155
DECATUR,34449,7606
DEL RIO,19101,7024
DENISON,35794,9368
DENTON,53045,9135
DILLEY,2996,3623
DUMAS,18996,8978
EAGLE PASS,37058,6889
EASTLAND,9352,5399
EDINBURG,54525,12113
EL CAMPO,10278,5458
EL PASO,61885,9609
ENNIS,26479,7291
FAIRFIELD,29165,6723
FLORESVILLE,16070,6112
FLOWER MOUND,30621,6749
FORT STOCKTON,12624,5995
FORT WORTH,42997,9916
FREDERICKSBURG,18547,7965
FRISCO,63092,8707
GAINESVILLE,20995,6152
GALVESTON,33896,21817
GARLAND,32366,10445
GILMER,28665,6752
GLEN ROSE,16604,6750
GONZALES,13791,8358
GRAHAM,9589,6222
GRANBURY,52872,8109
GRAND SALINE,12466,4434
GRAPEVINE,33476,8366
GREENVILLE,22755,7276
GROVES,34469,5786
HAMILTON,10035,5339
HAMLIN,17454,15592
HARLINGEN,38281,10434
HENDERSON,29087,6876
HEREFORD,7329,4744
HILLSBORO,22829,5432
HOUSTON,46863,11018
HUMBLE,31434,9674
HUNTSVILLE,25386,7091
IRVING,39657,9540
JACKSBORO,5510,6703
JACKSONVILLE,47452,7039
JASPER,18399,6198
JOURDANTON,25986,5941
KATY,27875,8213
KAUFMAN,21362,6614
KERRVILLE,21870,7880
KILLEEN,25592,7315
KINGSVILLE,30681,5447
KINGWOOD,63374,9402
KNOX CITY,3677,5264
KYLE,50233,9101
LA GRANGE,11719,6517
LAKE JACKSON,22776,6640
LAMESA,8945,7041
LAREDO,53541,10688
LEVELLAND,12613,6184
LEWISVILLE,46761,8261
LITTLEFIELD,6899,7947
LIVINGSTON,39665,5529
LLANO,7828,6738
LONGVIEW,40832,8450
LUBBOCK,49713,9876
LUFKIN,49905,7119
MANSFIELD,31818,7329
MARLIN,13779,7760
MARSHALL,28166,7286
MC KINNEY,32116,11181
MCALLEN,57362,10420
MCKINNEY,66959,10069
MESQUITE,55662,9158
MEXIA,24521,6803
MIDLAND,26897,8832
MINERAL WELLS,14323,6624
MISSION,34070,11466
MOUNT PLEASANT,18434,7889
MOUNT VERNON,19570,5678
NACOGDOCHES,36812,7686
NASSAU BAY,28216,6975
NOCONA,7825,5443
NORTH RICHLAND,52676,8638
ODESSA,35013,10350
ORANGE,26219,6435
PALESTINE,20222,5900
PAMPA,24918,6722
PARIS,30208,8676
PASADENA,48902,8945
PEARSALL,7092,5099
PLAINVIEW,16720,6197
PLANO,45693,8804
PORT ARTHUR,38232,7006
QUITMAN,20959,4592
RICHARDSON,39382,11168
RICHMOND,32643,7885
RIO GRANDE CITY,9162,5976
ROCKWALL,23766,6609
ROUND ROCK,39998,8254
ROWLETT,37043,6721
SAN ANGELO,34581,8382
SAN ANTONIO,42183,10715
SAN MARCOS,31330,8960
SEGUIN,23170,8107
SEYMOUR,8243,6948
SHERMAN,37720,8828
SMITHVILLE,15979,4806
SNYDER,10412,5490
SOUTHLAKE,63810,19936
STAMFORD,7906,5117
STEPHENVILLE,20907,7197
SUGAR LAND,45246,9514
SULPHUR SPRINGS,15407,5971
SUNNYVALE,41962,11175
SWEETWATER,12395,6871
TEMPLE,29980,11322
TERRELL,19071,5643
TEXARKANA,35900,8807
TEXAS CITY,56867,8354
THE WOODLANDS,45537,11467
TOMBALL,38311,8575
TRINITY,30448,6424
TROPHY CLUB,41814,12200
TYLER,56586,8662
UVALDE,16470,6818
VERNON,8293,7142
VICTORIA,39742,7685
WACO,28233,8954
WAXAHACHIE,25258,7650
WEATHERFORD,28122,6538
WEBSTER,65586,9768
WEIMAR,9707,6947
WESLACO,25309,9287
WHARTON,34200,9592
WHITNEY,3907,4427
WICHITA FALLS,35580,9692
WOODVILLE,10266,5633
