description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,44561,6905
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,53680,9372
ATHEROSCLEROSIS W/O MCC,303,19219,3226
BRONCHITIS & ASTHMA W/O CC/MCC,203,17968,3365
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,31120,4512
CELLULITIS W/O MCC,603,20784,4537
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,28310,5359
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,44600,6415
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,24586,3958
DIABETES W CC,638,27636,4596
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,18573,4195
G.I. HEMORRHAGE W CC,378,36347,5642
G.I. HEMORRHAGE W MCC,377,45418,9568
HEART FAILURE & SHOCK W CC,292,33298,5530
HEART FAILURE & SHOCK W MCC,291,43726,8368
HEART FAILURE & SHOCK W/O CC/MCC,293,24023,3745
HYPERTENSION W/O MCC,305,19392,3387
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,108110,28962
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,34064,5722
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,20234,4329
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,84661,13898
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,25860,6208
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,17490,3827
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,54813,10209
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,24519,5041
PULMONARY EDEMA & RESPIRATORY FAILURE,189,37576,7256
RED BLOOD CELL DISORDERS W/O MCC,812,27437,4333
RENAL FAILURE W CC,683,32394,5545
RENAL FAILURE W MCC,682,36489,8731
RENAL FAILURE W/O CC/MCC,684,14776,4608
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,42941,8319
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,60628,10507
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,59552,10120
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,59787,10488
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,34724,6318
SIMPLE PNEUMONIA & PLEURISY W CC,194,38374,5578
SIMPLE PNEUMONIA & PLEURISY W MCC,193,46272,8003
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,30373,3927
TRANSIENT ISCHEMIA,069,20950,4046
