description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,27324,9811
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,48081,15095
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,33159,6651
ATHEROSCLEROSIS W/O MCC,303,15284,4806
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,20860,8179
BRONCHITIS & ASTHMA W CC/MCC,202,28889,6950
BRONCHITIS & ASTHMA W/O CC/MCC,203,14775,5015
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19237,6984
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,31091,10182
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,15524,4710
CELLULITIS W MCC,602,35248,11418
CELLULITIS W/O MCC,603,17976,6890
CERVICAL SPINAL FUSION W/O CC/MCC,473,41460,17546
CHEST PAIN,313,17208,4592
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,30375,8258
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,32854,9788
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,18433,5942
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,40261,16516
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,29033,9033
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,19605,7102
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,27834,7310
DIABETES W CC,638,19677,6815
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,25889,9528
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,19771,5927
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,26082,8402
G.I. HEMORRHAGE W CC,378,27414,8435
G.I. HEMORRHAGE W MCC,377,45016,14245
G.I. HEMORRHAGE W/O CC/MCC,379,16050,5894
G.I. OBSTRUCTION W CC,389,20080,7708
G.I. OBSTRUCTION W/O CC/MCC,390,15319,5254
HEART FAILURE & SHOCK W CC,292,26932,8452
HEART FAILURE & SHOCK W MCC,291,40173,12174
HEART FAILURE & SHOCK W/O CC/MCC,293,18228,5650
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,47395,15331
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,39709,12561
HYPERTENSION W/O MCC,305,13774,5109
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,103213,42122
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,25157,9424
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,45780,16441
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,17392,6797
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,29189,10118
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,19210,6432
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,44182,14014
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,32268,9758
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,83489,25401
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,28032,10631
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,63013,24518
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,40801,17322
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,48680,20921
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,105277,41614
MEDICAL BACK PROBLEMS W/O MCC,552,17956,6520
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,28891,9437
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,17339,5948
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,41934,14418
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,22857,8149
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,24664,8116
OTHER VASCULAR PROCEDURES W CC,253,57851,19813
OTHER VASCULAR PROCEDURES W MCC,252,59382,24542
