description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,33778,9800
BRONCHITIS & ASTHMA W CC/MCC,202,22306,4580
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,18902,4509
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,26443,6708
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12714,3201
CELLULITIS W MCC,602,27053,7695
CELLULITIS W/O MCC,603,18070,4553
CHEST PAIN,313,21777,3014
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22220,5221
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,29190,6960
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,15828,3938
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,51948,10982
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,31195,6206
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,21184,5083
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,37495,7550
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,20990,4017
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,22092,5948
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,19319,3813
G.I. HEMORRHAGE W CC,378,22807,5550
G.I. HEMORRHAGE W MCC,377,46101,10675
G.I. OBSTRUCTION W CC,389,25994,5126
G.I. OBSTRUCTION W/O CC/MCC,390,14856,3462
HEART FAILURE & SHOCK W CC,292,21241,5497
HEART FAILURE & SHOCK W MCC,291,33973,8627
HEART FAILURE & SHOCK W/O CC/MCC,293,13936,3675
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,43397,10308
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,69219,17041
HYPERTENSION W/O MCC,305,14974,3336
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,96054,27343
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,23100,6076
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,44562,10297
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,19849,4456
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,31220,6606
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,17985,4220
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,43231,9239
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,34584,7936
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,22442,6899
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,63873,17914
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,47425,13706
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,52787,13718
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,104750,27988
MEDICAL BACK PROBLEMS W/O MCC,552,25939,5603
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,21430,6182
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,17241,3718
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,58365,11227
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,21581,5973
OTHER VASCULAR PROCEDURES W MCC,252,95600,22212
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,92658,19361
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,50759,12340
PERIPHERAL VASCULAR DISORDERS W CC,300,18642,5987
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,12777,3596
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,48241,15193
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,26548,8619
PULMONARY EDEMA & RESPIRATORY FAILURE,189,23774,7218
RED BLOOD CELL DISORDERS W MCC,811,27065,6678
RED BLOOD CELL DISORDERS W/O MCC,812,16586,4492
RENAL FAILURE W CC,683,23215,6144
RENAL FAILURE W MCC,682,33031,9639
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,27636,7459
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,39383,10816
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,50544,13200
SEIZURES W/O MCC,101,17454,4366
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,50832,13113
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,30213,6962
SIGNS & SYMPTOMS W/O MCC,948,12827,3862
SIMPLE PNEUMONIA & PLEURISY W CC,194,22296,5883
SIMPLE PNEUMONIA & PLEURISY W MCC,193,29904,8079
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,17100,4010
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,66640,20684
SYNCOPE & COLLAPSE,312,18219,3899
TRANSIENT ISCHEMIA,069,19424,3967
