description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,17444,4827
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,21874,6428
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,21707,6162
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,18749,4117
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,24337,4206
HEART FAILURE & SHOCK W CC,292,27156,5846
HEART FAILURE & SHOCK W MCC,291,28782,8605
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,19495,4415
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,62926,12307
PULMONARY EDEMA & RESPIRATORY FAILURE,189,33346,7380
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,33473,7763
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,39114,10751
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,28025,6618
SIMPLE PNEUMONIA & PLEURISY W CC,194,25767,6005
SIMPLE PNEUMONIA & PLEURISY W MCC,193,34105,7706
