providerName,providerNationalID,avgCoveredCharges,averagePayments
HOUSTON NORTHWEST MEDICAL CENTER,450638,182625,31460
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,85312,33486
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,110807,43992
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,191895,64200
METHODIST HOSPITALTHE,450358,227735,44425
METHODIST WILLOWBROOK HOSPITAL,450844,184352,33467
PARK PLAZA HOSPITAL,450659,198295,35925
ST JOSEPH MEDICAL CENTER,450035,112999,41407
ST LUKES EPISCOPAL HOSPITAL,450193,198855,56865
WEST HOUSTON MEDICAL CENTER,450644,142566,34003
