description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,40940,9698
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,84247,20625
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,38488,10467
ATHEROSCLEROSIS W/O MCC,303,16758,4659
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,32295,10195
BRONCHITIS & ASTHMA W CC/MCC,202,39425,8649
BRONCHITIS & ASTHMA W/O CC/MCC,203,25755,5606
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,28244,7933
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,46206,9866
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,16370,4810
CELLULITIS W MCC,602,41735,18042
CELLULITIS W/O MCC,603,23254,7376
CERVICAL SPINAL FUSION W/O CC/MCC,473,60441,22059
CHEST PAIN,313,22253,4865
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,35563,7557
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,41160,8541
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,23254,5756
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,104117,20105
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,47346,9619
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,39363,13708
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,29966,7679
DIABETES W CC,638,25213,6466
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,32225,8394
DYSEQUILIBRIUM,149,37813,6599
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,47371,11900
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,27617,6758
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,33763,6782
FRACTURES OF HIP & PELVIS W/O MCC,536,20164,4933
G.I. HEMORRHAGE W CC,378,31226,7452
G.I. HEMORRHAGE W MCC,377,53774,12732
G.I. HEMORRHAGE W/O CC/MCC,379,22412,6535
G.I. OBSTRUCTION W CC,389,26975,7667
G.I. OBSTRUCTION W/O CC/MCC,390,16247,5105
HEART FAILURE & SHOCK W CC,292,35304,7678
HEART FAILURE & SHOCK W MCC,291,57093,11421
HEART FAILURE & SHOCK W/O CC/MCC,293,21904,5822
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,48878,12184
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,121603,25669
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,37102,9922
HYPERTENSION W/O MCC,305,24681,5923
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,198855,56865
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,40275,9580
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,71800,15812
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,33031,7281
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,39790,8712
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,22622,5738
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,52864,11202
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,28413,8448
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,93656,24083
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,35610,10655
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,97352,32009
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,60549,18778
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,73216,25046
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,167806,41053
MEDICAL BACK PROBLEMS W/O MCC,552,30883,6437
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,35450,8332
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,22734,5543
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,42943,8101
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,54476,14427
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,33610,12960
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,44338,12027
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,63099,15592
OTHER VASCULAR PROCEDURES W CC,253,88087,20202
OTHER VASCULAR PROCEDURES W MCC,252,98520,22903
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,60461,11982
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,95129,22507
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,66416,14810
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,66066,12737
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,74278,14727
PERIPHERAL VASCULAR DISORDERS W CC,300,31832,7463
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,17541,4563
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,70228,18920
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,51068,16145
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,21282,5542
PSYCHOSES,885,25276,6146
PULMONARY EDEMA & RESPIRATORY FAILURE,189,55674,13904
PULMONARY EMBOLISM W/O MCC,176,28532,9088
RED BLOOD CELL DISORDERS W MCC,811,48366,11826
RED BLOOD CELL DISORDERS W/O MCC,812,22141,5838
RENAL FAILURE W CC,683,32544,8149
RENAL FAILURE W MCC,682,46157,11309
RENAL FAILURE W/O CC/MCC,684,20741,4439
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,43267,10025
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,69628,13838
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,172027,35086
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,86000,16370
SEIZURES W/O MCC,101,29819,6088
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,173699,39852
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,78967,18302
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,30888,7997
SIGNS & SYMPTOMS W/O MCC,948,26856,6081
SIMPLE PNEUMONIA & PLEURISY W CC,194,34140,7232
SIMPLE PNEUMONIA & PLEURISY W MCC,193,51183,11272
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,25108,5184
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,98003,28071
SYNCOPE & COLLAPSE,312,28136,5785
TRANSIENT ISCHEMIA,069,28033,5489
