description,code,avgCoveredCharges,averagePayments
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,48230,6018
CHEST PAIN,313,33892,3131
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,37554,6967
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,33494,4775
G.I. HEMORRHAGE W CC,378,47592,5850
HEART FAILURE & SHOCK W CC,292,37946,5551
HEART FAILURE & SHOCK W MCC,291,83711,9334
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,32884,4359
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,160832,12643
RENAL FAILURE W CC,683,41263,5682
RENAL FAILURE W MCC,682,48795,8639
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,81382,11386
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,139111,17451
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,45047,7599
SIMPLE PNEUMONIA & PLEURISY W CC,194,39140,5523
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,176757,28176
