description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,25636,3481
CELLULITIS W/O MCC,603,30306,4978
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,38583,5783
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,43898,7156
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,24574,3957
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,31143,4307
HEART FAILURE & SHOCK W CC,292,44970,6141
HEART FAILURE & SHOCK W MCC,291,80637,9571
HEART FAILURE & SHOCK W/O CC/MCC,293,32348,4210
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,79543,11265
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,44501,7123
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,74636,12408
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,27882,4549
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,79469,12910
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,25154,3960
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,23482,3812
RED BLOOD CELL DISORDERS W/O MCC,812,30636,4892
RENAL FAILURE W CC,683,41650,6171
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,64813,9055
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,78547,11901
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,71421,11801
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,52980,7035
SIMPLE PNEUMONIA & PLEURISY W CC,194,44900,6124
SIMPLE PNEUMONIA & PLEURISY W MCC,193,64113,9019
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,30484,4355
