description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,51830,10261
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,42744,5630
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,23973,4766
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,53533,8093
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,20110,3263
CELLULITIS W/O MCC,603,21395,4693
CHEST PAIN,313,20819,3099
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,31239,5417
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,31499,6608
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,23377,4092
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,61242,6182
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,27011,4342
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,43277,6009
G.I. HEMORRHAGE W CC,378,33395,5836
HEART FAILURE & SHOCK W CC,292,27349,5588
HEART FAILURE & SHOCK W MCC,291,39866,8244
HEART FAILURE & SHOCK W/O CC/MCC,293,19754,4189
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,74300,10585
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,42814,6632
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,79250,11119
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,34025,4660
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,33050,6742
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,26574,4363
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,137427,18877
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,92882,12309
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,73342,14436
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,27650,6476
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,20714,3888
OTHER VASCULAR PROCEDURES W MCC,252,90942,15815
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,74603,9773
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,110747,14631
PULMONARY EDEMA & RESPIRATORY FAILURE,189,42820,8088
RED BLOOD CELL DISORDERS W/O MCC,812,30053,4522
RENAL FAILURE W CC,683,26179,5785
RENAL FAILURE W MCC,682,44354,9070
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,42037,10448
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,79831,13274
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,55952,11776
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,25096,6480
SIMPLE PNEUMONIA & PLEURISY W CC,194,29024,5659
SIMPLE PNEUMONIA & PLEURISY W MCC,193,44255,7836
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,23519,4025
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,170528,25239
SYNCOPE & COLLAPSE,312,25053,4075
TRANSIENT ISCHEMIA,069,53733,7077
