description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,21258,7162
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,33760,11577
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,19747,4906
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,21050,5985
BRONCHITIS & ASTHMA W CC/MCC,202,20465,4947
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19915,5107
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,29476,7771
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11662,3579
CELLULITIS W MCC,602,23466,8918
CELLULITIS W/O MCC,603,13666,5019
CERVICAL SPINAL FUSION W/O CC/MCC,473,45824,13329
CHEST PAIN,313,12981,3427
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22196,6038
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,20184,7114
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,19977,4470
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,22322,6932
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,21526,5232
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,16648,5793
DIABETES W CC,638,15389,5045
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,22300,6964
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,17609,4862
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,16711,6229
FRACTURES OF HIP & PELVIS W/O MCC,536,10137,4183
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,14614,4311
G.I. HEMORRHAGE W CC,378,20134,6554
G.I. HEMORRHAGE W MCC,377,37818,12105
G.I. HEMORRHAGE W/O CC/MCC,379,16887,4318
G.I. OBSTRUCTION W CC,389,21445,5865
G.I. OBSTRUCTION W/O CC/MCC,390,15413,3874
HEART FAILURE & SHOCK W CC,292,19450,6194
HEART FAILURE & SHOCK W MCC,291,26632,8897
HEART FAILURE & SHOCK W/O CC/MCC,293,13968,4175
