description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,11218,5449
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10690,3839
CELLULITIS W/O MCC,603,11665,5404
CHEST PAIN,313,9770,3543
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,15485,6161
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,16947,7526
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,12722,4690
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10048,4662
G.I. HEMORRHAGE W CC,378,17491,6642
HEART FAILURE & SHOCK W CC,292,13761,6622
HEART FAILURE & SHOCK W MCC,291,25040,9553
HEART FAILURE & SHOCK W/O CC/MCC,293,11443,4366
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,27940,11906
HYPERTENSION W/O MCC,305,12139,4135
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,13822,7480
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,12895,4900
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,19429,8312
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,42135,13650
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,62943,29412
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,9987,4407
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,23756,11245
PERIPHERAL VASCULAR DISORDERS W CC,300,12854,6480
RED BLOOD CELL DISORDERS W/O MCC,812,11632,5147
RENAL FAILURE W CC,683,10951,6406
RENAL FAILURE W MCC,682,15710,9870
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,19526,9458
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,30363,12396
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,36720,13694
SEIZURES W/O MCC,101,13211,4794
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,24454,11821
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,15860,7095
SIMPLE PNEUMONIA & PLEURISY W CC,194,15850,6387
SIMPLE PNEUMONIA & PLEURISY W MCC,193,23306,9432
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,13799,4589
SYNCOPE & COLLAPSE,312,9632,4638
