description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,29713,6860
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,46380,10777
ATHEROSCLEROSIS W/O MCC,303,21550,3533
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,17603,5003
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,28333,7512
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12820,3504
CELLULITIS W/O MCC,603,14285,5174
CERVICAL SPINAL FUSION W/O CC/MCC,473,55338,12578
CHEST PAIN,313,14095,3432
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,17859,5882
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,27180,7133
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,16241,4346
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,32225,6648
DIABETES W CC,638,13858,5122
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,20944,7491
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,13890,4297
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,20954,6164
FRACTURES OF HIP & PELVIS W/O MCC,536,8256,4050
G.I. HEMORRHAGE W CC,378,17742,6220
G.I. HEMORRHAGE W MCC,377,34944,10623
G.I. HEMORRHAGE W/O CC/MCC,379,11972,4379
G.I. OBSTRUCTION W CC,389,20212,5671
G.I. OBSTRUCTION W/O CC/MCC,390,12451,3858
HEART FAILURE & SHOCK W CC,292,19615,6230
HEART FAILURE & SHOCK W MCC,291,26640,9320
HEART FAILURE & SHOCK W/O CC/MCC,293,13803,4221
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,34270,10854
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,47205,16770
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,32155,9236
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,17056,6395
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,30722,10905
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,12963,5108
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,22902,7236
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13700,4773
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,32005,10592
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,22567,7082
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,20647,8198
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,43585,12804
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,51258,15526
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,101542,31344
MEDICAL BACK PROBLEMS W/O MCC,552,11103,4966
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,22523,6858
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12539,4184
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,33485,10260
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,15070,6053
OTHER VASCULAR PROCEDURES W CC,253,64141,14538
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,128136,23489
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,90698,13332
PERIPHERAL VASCULAR DISORDERS W CC,300,13825,5820
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,9258,4006
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,82053,16069
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,12785,3821
PULMONARY EDEMA & RESPIRATORY FAILURE,189,32725,8009
PULMONARY EMBOLISM W/O MCC,176,19956,6490
RED BLOOD CELL DISORDERS W MCC,811,16478,7594
RED BLOOD CELL DISORDERS W/O MCC,812,14609,4819
RENAL FAILURE W CC,683,14211,6206
RENAL FAILURE W MCC,682,26127,9758
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,27326,8502
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,32884,12405
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,142979,34003
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,36867,13334
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,35707,11441
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,19036,6904
SIGNS & SYMPTOMS W/O MCC,948,12664,4117
SIMPLE PNEUMONIA & PLEURISY W CC,194,22527,6083
SIMPLE PNEUMONIA & PLEURISY W MCC,193,29954,8836
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,14006,4270
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,72480,23639
SYNCOPE & COLLAPSE,312,13730,4346
TRANSIENT ISCHEMIA,069,13417,5023
