description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,35848,7331
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,42040,9602
ATHEROSCLEROSIS W/O MCC,303,24202,3298
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,29203,5866
BRONCHITIS & ASTHMA W CC/MCC,202,25825,5147
BRONCHITIS & ASTHMA W/O CC/MCC,203,20642,3870
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,22576,4737
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,41029,7561
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,14950,3229
CELLULITIS W/O MCC,603,20455,4694
CHEST PAIN,313,20063,3104
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,24436,5386
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,30356,6873
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,21417,4144
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,63426,11835
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,31820,6794
DIABETES W CC,638,18740,4658
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,29082,7398
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,19329,4393
FRACTURES OF HIP & PELVIS W/O MCC,536,16888,4407
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,19621,3959
G.I. HEMORRHAGE W CC,378,24212,5856
G.I. HEMORRHAGE W MCC,377,32868,10555
G.I. OBSTRUCTION W CC,389,22944,5325
G.I. OBSTRUCTION W/O CC/MCC,390,21046,3596
HEART FAILURE & SHOCK W CC,292,30196,6005
HEART FAILURE & SHOCK W MCC,291,43660,9592
HEART FAILURE & SHOCK W/O CC/MCC,293,21110,3923
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,49964,10472
HYPERTENSION W/O MCC,305,23651,3701
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,27520,7064
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,43180,11130
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,19784,4543
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,32513,6840
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,18927,4496
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,35236,10233
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,25939,6691
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,89120,19057
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,64128,13123
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,58652,14960
MEDICAL BACK PROBLEMS W/O MCC,552,17146,4409
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,33979,7988
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,18330,4161
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,37508,10127
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,27611,5608
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,24686,5656
OTHER VASCULAR PROCEDURES W CC,253,72405,15575
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,62457,12869
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,76740,15232
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,13936,3467
PULMONARY EDEMA & RESPIRATORY FAILURE,189,43538,7216
PULMONARY EMBOLISM W/O MCC,176,37611,6052
RED BLOOD CELL DISORDERS W MCC,811,30859,7086
RED BLOOD CELL DISORDERS W/O MCC,812,23181,4493
RENAL FAILURE W CC,683,25558,6236
RENAL FAILURE W MCC,682,34744,9664
RENAL FAILURE W/O CC/MCC,684,13307,4063
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,25350,8152
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,42078,11535
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,53315,13235
SEIZURES W/O MCC,101,20964,4295
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,41804,10931
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,27674,6283
SIGNS & SYMPTOMS W/O MCC,948,18611,4778
SIMPLE PNEUMONIA & PLEURISY W CC,194,29119,6726
SIMPLE PNEUMONIA & PLEURISY W MCC,193,38887,8371
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,18239,4238
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,101254,26934
SYNCOPE & COLLAPSE,312,25548,4316
TRANSIENT ISCHEMIA,069,22327,4968
