description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,67025,11351
BRONCHITIS & ASTHMA W CC/MCC,202,39781,5097
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,27470,5217
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,50648,7637
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,15239,3666
CELLULITIS W MCC,602,60244,10460
CELLULITIS W/O MCC,603,27033,4935
CERVICAL SPINAL FUSION W/O CC/MCC,473,89938,12565
CHEST PAIN,313,23170,3327
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,30156,6140
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,38933,7372
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,25316,4551
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,36143,6780
DIABETES W CC,638,19684,5159
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,30368,4390
G.I. HEMORRHAGE W CC,378,28931,6177
G.I. HEMORRHAGE W MCC,377,46825,10869
HEART FAILURE & SHOCK W CC,292,32565,6339
HEART FAILURE & SHOCK W MCC,291,45920,8971
HEART FAILURE & SHOCK W/O CC/MCC,293,25707,4146
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,65016,11431
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,82961,17756
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,106846,32225
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,33246,6730
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,54877,11087
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,26134,6246
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,28418,7337
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,23364,4580
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,119505,21273
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,79296,13388
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,96492,15698
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,145483,30825
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,39314,6713
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,23007,4266
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,49716,10640
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,40609,6013
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,50011,9122
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,72698,12516
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,74948,12636
PULMONARY EDEMA & RESPIRATORY FAILURE,189,46664,7940
RED BLOOD CELL DISORDERS W/O MCC,812,25963,4814
RENAL FAILURE W CC,683,26983,5989
RENAL FAILURE W MCC,682,44640,10189
RENAL FAILURE W/O CC/MCC,684,20442,3985
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,65680,12966
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,55469,12715
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,35432,6816
SIMPLE PNEUMONIA & PLEURISY W CC,194,30774,6143
SIMPLE PNEUMONIA & PLEURISY W MCC,193,46223,8587
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,23308,4277
SYNCOPE & COLLAPSE,312,28419,4371
TRANSIENT ISCHEMIA,069,30685,4700
