providerName,providerNationalID,avgCoveredCharges,averagePayments
BAPTIST MEDICAL CENTER,450058,45555,9468
CHRISTUS SANTA ROSA HOSPITAL,450237,39568,12437
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,670054,78096,19454
METHODIST AMBULATORY SURGERY HOSPITAL NW,450780,71780,18410
METHODIST HOSPITAL,450388,46155,9859
METHODIST STONE OAK HOSPITAL,670055,40209,8152
NIX HEALTH CARE SYSTEM,450130,40209,9490
SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,450856,52928,12337
SOUTHWEST GENERAL HOSPITAL,450697,40114,11354
TEXSAN HEART HOSPITAL,450878,36403,6719
UNIVERSITY HEALTH SYSTEM,450213,32005,16039
