description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,14743,4889
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9945,3362
CELLULITIS W/O MCC,603,8904,4558
CHEST PAIN,313,10188,3205
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,14892,5608
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,14147,6843
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11412,4208
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,23668,6354
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10837,4181
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,14490,5937
G.I. HEMORRHAGE W/O CC/MCC,379,8356,3910
HEART FAILURE & SHOCK W CC,292,17313,5955
HEART FAILURE & SHOCK W/O CC/MCC,293,11691,3938
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,14545,6677
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,11108,4778
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,10530,4496
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,26458,10232
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,28209,14170
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8578,3987
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,56170,12244
RED BLOOD CELL DISORDERS W/O MCC,812,11750,4518
RENAL FAILURE W CC,683,16062,5771
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,17940,10517
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,10882,6580
SIMPLE PNEUMONIA & PLEURISY W CC,194,13149,5911
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9216,4132
TRANSIENT ISCHEMIA,069,10818,4261
