description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,9932,6368
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,10640,7140
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,10536,8395
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,8680,5515
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10692,5601
HEART FAILURE & SHOCK W CC,292,12256,7732
HEART FAILURE & SHOCK W/O CC/MCC,293,9108,5330
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13574,5956
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8186,5320
PERIPHERAL VASCULAR DISORDERS W CC,300,15198,7867
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,9752,4878
PULMONARY EDEMA & RESPIRATORY FAILURE,189,20099,9774
RED BLOOD CELL DISORDERS W/O MCC,812,10890,6030
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,22521,10948
SIMPLE PNEUMONIA & PLEURISY W CC,194,14577,7683
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,11676,5391
