description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,19802,5972
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,26268,6105
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,24918,5419
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,25068,5080
HEART FAILURE & SHOCK W CC,292,36869,7265
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,50028,8837
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,29719,5511
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,20193,4645
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,51116,10334
SEIZURES W/O MCC,101,19403,5193
SIMPLE PNEUMONIA & PLEURISY W CC,194,31543,6302
