description,code,avgCoveredCharges,averagePayments
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,16093,5496
CERVICAL SPINAL FUSION W/O CC/MCC,473,24990,11512
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,12554,3873
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,27096,10084
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,19915,8495
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,11441,4364
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,27420,11834
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11542,3834
RED BLOOD CELL DISORDERS W/O MCC,812,19001,4567
SIMPLE PNEUMONIA & PLEURISY W CC,194,14470,5630
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,13638,3991
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,53912,21774
