description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,37205,17851
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,17877,8359
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,13651,7203
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,22121,11488
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8443,4876
CELLULITIS W/O MCC,603,12135,7229
CERVICAL SPINAL FUSION W/O CC/MCC,473,32020,17244
CHEST PAIN,313,10397,4805
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,15491,8126
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,24871,10438
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,38203,18132
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,19636,9337
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,32920,9395
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,12046,8086
DIABETES W CC,638,15422,8759
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,15177,9013
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,21046,10209
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,12865,6719
G.I. HEMORRHAGE W CC,378,17603,8826
G.I. HEMORRHAGE W MCC,377,38845,16439
G.I. HEMORRHAGE W/O CC/MCC,379,10454,6247
G.I. OBSTRUCTION W CC,389,15559,8101
G.I. OBSTRUCTION W/O CC/MCC,390,10482,5929
HEART FAILURE & SHOCK W CC,292,15056,8865
HEART FAILURE & SHOCK W MCC,291,31892,14450
HEART FAILURE & SHOCK W/O CC/MCC,293,10570,6035
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,35125,16715
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,140011,68039
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,23021,10093
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,37288,18810
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,14029,6712
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,13011,8429
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,12137,6352
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,57921,26545
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,15483,10232
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,35760,17096
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,47466,22127
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,132585,58699
MEDICAL BACK PROBLEMS W/O MCC,552,19152,7280
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,18702,9993
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12538,6235
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,23846,9437
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,40950,18969
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,13669,8339
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,17814,9361
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,25356,13655
OTHER VASCULAR PROCEDURES W CC,253,42411,19729
OTHER VASCULAR PROCEDURES W MCC,252,60441,28421
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,49269,25648
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,38157,16717
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,35244,15024
PERIPHERAL VASCULAR DISORDERS W CC,300,11961,7910
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,17241,11481
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,11757,5592
PULMONARY EDEMA & RESPIRATORY FAILURE,189,26435,11001
PULMONARY EMBOLISM W/O MCC,176,14379,8934
RED BLOOD CELL DISORDERS W/O MCC,812,12873,6931
RENAL FAILURE W CC,683,19408,9760
RENAL FAILURE W MCC,682,29422,14337
RENAL FAILURE W/O CC/MCC,684,11607,5667
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,27847,13902
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,56348,25911
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,92070,47585
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,39770,20043
SEIZURES W/O MCC,101,15540,7313
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,99497,49556
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,39164,18244
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,17905,9678
SIGNS & SYMPTOMS W/O MCC,948,13423,6284
SIMPLE PNEUMONIA & PLEURISY W CC,194,16229,8625
SIMPLE PNEUMONIA & PLEURISY W MCC,193,19873,12012
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,10025,6112
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,65066,33448
SYNCOPE & COLLAPSE,312,13686,6372
