city,avgCoveredCharges,averagePayments
ALEXANDRIA,17368,7423
ARLINGTON,18709,7561
BLACKSBURG,21353,6825
CHARLOTTESVILLE,21264,9389
CHESAPEAKE,17942,6324
DANVILLE,21121,6710
FAIRFAX,17998,7203
FALLS CHURCH,23991,9282
FISHERSVILLE,11986,7007
FREDERICKSBURG,32965,9319
HAMPTON,20324,6268
HARRISONBURG,16332,7268
LEESBURG,19700,7463
LYNCHBURG,17386,7089
MANASSAS,23223,8095
MARTINSVILLE,23702,6508
MECHANICSVILLE,29889,7052
MIDLOTHIAN,28566,6963
NEWPORT NEWS,19950,9128
NORFOLK,22659,7598
PENNINGTON GAP,16141,6409
PETERSBURG,87818,9752
PORTSMOUTH,15823,7360
RESTON,27213,6698
RICHLANDS,24947,6060
RICHMOND,45963,8830
ROANOKE,16439,8036
SALEM,35490,7534
SOUTH HILL,17624,6000
SUFFOLK,24453,6620
VIRGINIA BEACH,25703,6353
WARRENTON,19964,7036
WILLIAMSBURG,21816,6793
WINCHESTER,15477,7325
WOODBRIDGE,27512,7589
