city,avgCoveredCharges,averagePayments
ABINGDON,14253,4270
ALEXANDRIA,11284,4884
ARLINGTON,8905,5430
BEDFORD,13915,5562
BIG STONE GAP,11460,4470
BLACKSBURG,12355,4629
CHARLOTTESVILLE,15367,6804
CHESAPEAKE,11501,4383
CHRISTIANSBURG,11037,4463
CULPEPER,11887,4915
DANVILLE,19998,4658
EMPORIA,31816,4422
FAIRFAX,12036,4904
FALLS CHURCH,14660,6269
FARMVILLE,10451,4742
FISHERSVILLE,9747,4888
FRANKLIN,17547,5091
FREDERICKSBURG,20054,5144
GALAX,11454,4675
GLOUCESTER,13762,4053
HALIFAX,11122,4906
HAMPTON,16052,4467
HARRISONBURG,11290,5128
HOPEWELL,17990,4599
LEESBURG,13198,4853
LOW MOOR,13524,4710
LYNCHBURG,11265,4849
MANASSAS,13694,5615
MARTINSVILLE,16295,4745
MECHANICSVILLE,19742,4875
MIDLOTHIAN,15461,4789
NEWPORT NEWS,12580,6321
NORFOLK,18479,5314
NORTON,21824,4905
PENNINGTON GAP,10642,5075
PETERSBURG,38495,4872
PORTSMOUTH,12816,5030
PULASKI,9664,4518
RESTON,13027,4577
RICHLANDS,14239,4325
RICHMOND,24222,6509
ROANOKE,15481,7172
SALEM,19845,4167
SOUTH HILL,15848,4325
SUFFOLK,12858,4561
TAPPAHANNOCK,10749,5172
VIRGINIA BEACH,18609,4733
WILLIAMSBURG,15962,4498
WINCHESTER,9270,5011
WOODBRIDGE,13287,5251
