city,avgCoveredCharges,averagePayments
ABINGDON,28454,7174
ALEXANDRIA,24674,9079
ARLINGTON,23956,9518
BEDFORD,16436,5790
BIG STONE GAP,14842,5811
BLACKSBURG,25282,8184
CATAWBA,11290,4990
CHARLOTTESVILLE,31218,11916
CHESAPEAKE,23313,8246
CHRISTIANSBURG,22170,7484
CULPEPER,20606,7307
DANVILLE,27712,8615
EMPORIA,32580,5627
FAIRFAX,21137,8587
FALLS CHURCH,27322,11583
FARMVILLE,15333,6475
FISHERSVILLE,20239,8982
FRANKLIN,29183,6807
FREDERICKSBURG,34300,9781
FRONT ROYAL,10775,7885
GALAX,19091,7007
GLOUCESTER,15520,5658
GRUNDY,14916,7116
HALIFAX,22420,9975
HAMPTON,27619,8741
HARRISONBURG,20240,9717
HOPEWELL,51616,6867
KILMARNOCK,13135,6610
LEBANON,20276,5386
LEESBURG,23552,8437
LOW MOOR,19927,5909
LYNCHBURG,20946,9005
MANASSAS,19701,8464
MARION,20985,5922
MARTINSVILLE,25572,7713
MECHANICSVILLE,38770,9616
MIDLOTHIAN,35775,9325
NASSAWADOX,16868,6066
NEWPORT NEWS,26652,10323
NORFOLK,30530,9955
NORTON,18683,5998
PENNINGTON GAP,13277,5798
PETERSBURG,64109,9435
PORTSMOUTH,27293,9610
PULASKI,23024,7393
RESTON,35571,8977
RICHLANDS,21839,5561
RICHMOND,55835,11184
ROANOKE,28121,10564
ROCKY MOUNT,13492,6318
SALEM,41175,8468
SOUTH HILL,19771,6002
STAFFORD,24304,6946
SUFFOLK,24417,7659
TAPPAHANNOCK,15964,6259
TAZEWELL,10149,6025
VIRGINIA BEACH,31198,8560
WARRENTON,23932,8356
WILLIAMSBURG,22532,6836
WINCHESTER,20389,9717
WOODBRIDGE,23860,9778
WYTHEVILLE,16452,7268
