description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,15487,6654
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,20146,10248
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,16986,5282
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,7994,4170
ATHEROSCLEROSIS W/O MCC,303,5706,3750
BRONCHITIS & ASTHMA W CC/MCC,202,7845,5161
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,7951,5142
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,14953,7520
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,6255,3496
CELLULITIS W MCC,602,15340,8706
CELLULITIS W/O MCC,603,11469,5112
CHEST PAIN,313,6744,3372
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,10469,5898
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,11104,7267
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,7024,4806
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,27264,11208
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,21292,6521
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,9734,5259
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,9251,5698
DIABETES W CC,638,9054,5075
DYSEQUILIBRIUM,149,8189,3915
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,11986,7007
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,9282,4898
FRACTURES OF HIP & PELVIS W/O MCC,536,7696,4359
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,7843,4426
G.I. HEMORRHAGE W CC,378,10404,6263
G.I. HEMORRHAGE W MCC,377,18779,10281
G.I. OBSTRUCTION W CC,389,10228,5665
G.I. OBSTRUCTION W/O CC/MCC,390,7487,3910
HEART FAILURE & SHOCK W CC,292,8190,6100
HEART FAILURE & SHOCK W MCC,291,13127,8778
HEART FAILURE & SHOCK W/O CC/MCC,293,6820,4163
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,31913,11182
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,40174,17840
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,26071,9667
HYPERTENSION W/O MCC,305,7739,3776
