description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,30778,8355
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,35108,10988
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,33582,5983
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,22634,4834
ATHEROSCLEROSIS W/O MCC,303,22126,3713
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,29156,6504
BRONCHITIS & ASTHMA W CC/MCC,202,22894,5568
BRONCHITIS & ASTHMA W/O CC/MCC,203,17316,4030
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,18157,5482
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,24128,8089
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,17102,3775
CELLULITIS W MCC,602,38868,9823
CELLULITIS W/O MCC,603,21998,5864
CERVICAL SPINAL FUSION W/O CC/MCC,473,42756,13646
CHEST PAIN,313,19165,3837
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,27208,6800
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,30217,7919
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,20626,5091
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,44480,12994
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,39502,7256
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,26531,6864
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,23093,5939
DIABETES W CC,638,21754,5263
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,25898,6392
DYSEQUILIBRIUM,149,21162,4180
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,32965,9319
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,22275,5273
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,19683,6548
FRACTURES OF HIP & PELVIS W/O MCC,536,17206,4678
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,15890,4539
G.I. HEMORRHAGE W CC,378,25972,6773
G.I. HEMORRHAGE W MCC,377,36952,11860
G.I. HEMORRHAGE W/O CC/MCC,379,36368,7423
G.I. OBSTRUCTION W CC,389,19370,6302
G.I. OBSTRUCTION W/O CC/MCC,390,18911,5088
HEART FAILURE & SHOCK W CC,292,25141,7049
HEART FAILURE & SHOCK W MCC,291,33160,9663
HEART FAILURE & SHOCK W/O CC/MCC,293,24688,5917
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,45638,13174
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,72392,23109
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,43038,11336
HYPERTENSION W/O MCC,305,16609,3899
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,97501,37886
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,29410,7987
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,39007,11295
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,24114,5402
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,21765,7697
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,21408,5712
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,48173,15831
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,30256,7710
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,65564,19184
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,34940,9588
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,80605,22338
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,49303,13952
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,62051,18570
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,103681,49144
MEDICAL BACK PROBLEMS W/O MCC,552,23079,5173
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,26766,8777
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,20277,4457
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,28556,6429
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,47605,12645
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,24680,7554
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,30991,9180
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,30856,10132
OTHER VASCULAR PROCEDURES W CC,253,65380,20277
OTHER VASCULAR PROCEDURES W MCC,252,68385,20241
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,30313,11948
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,89528,22780
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,63815,14276
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,63715,12909
PERIPHERAL VASCULAR DISORDERS W CC,300,25976,6254
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,16683,4033
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,67438,18104
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,69912,15296
