description,code,avgCoveredCharges,averagePayments
BRONCHITIS & ASTHMA W CC/MCC,202,19277,4753
BRONCHITIS & ASTHMA W/O CC/MCC,203,12505,3431
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,17182,4733
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,22261,6963
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12119,3246
CELLULITIS W/O MCC,603,18450,4637
CHEST PAIN,313,14325,3103
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,16408,5614
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,21288,6640
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,15484,4074
DIABETES W CC,638,17724,4642
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,15299,4094
FRACTURES OF HIP & PELVIS W/O MCC,536,13860,3943
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,12000,3925
G.I. HEMORRHAGE W CC,378,20366,5708
G.I. OBSTRUCTION W CC,389,17912,5273
G.I. OBSTRUCTION W/O CC/MCC,390,12189,3594
HEART FAILURE & SHOCK W CC,292,16191,5787
HEART FAILURE & SHOCK W MCC,291,27870,8685
HEART FAILURE & SHOCK W/O CC/MCC,293,15835,3867
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,25042,6787
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,15116,4527
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,25154,7620
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,14264,4444
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,18756,7429
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,56473,13161
MEDICAL BACK PROBLEMS W/O MCC,552,17497,4629
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,22006,6503
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11916,4210
PERIPHERAL VASCULAR DISORDERS W CC,300,15350,5190
PULMONARY EDEMA & RESPIRATORY FAILURE,189,28763,10588
PULMONARY EMBOLISM W/O MCC,176,22864,7113
RED BLOOD CELL DISORDERS W MCC,811,17494,7078
RED BLOOD CELL DISORDERS W/O MCC,812,13524,4710
RENAL FAILURE W CC,683,17131,5780
RENAL FAILURE W MCC,682,25658,9131
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,22662,8104
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,34270,10520
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,33136,10159
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,30127,6902
SIGNS & SYMPTOMS W/O MCC,948,14454,3874
SIMPLE PNEUMONIA & PLEURISY W CC,194,19639,6123
SIMPLE PNEUMONIA & PLEURISY W MCC,193,30962,8154
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,13837,4191
SYNCOPE & COLLAPSE,312,14988,4047
TRANSIENT ISCHEMIA,069,17011,4125
