description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,30655,7020
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,43796,10946
BRONCHITIS & ASTHMA W CC/MCC,202,17555,5007
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,16832,4998
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,24721,7983
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12433,3435
CELLULITIS W/O MCC,603,20302,5163
CHEST PAIN,313,12500,3457
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,21884,6713
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,20128,7228
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,13454,4729
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,55548,11671
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,46775,6776
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,19584,5619
DIABETES W CC,638,15320,4943
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,25187,7565
DYSEQUILIBRIUM,149,18547,3857
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,29889,7052
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,20075,4436
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,32336,7010
FRACTURES OF HIP & PELVIS W/O MCC,536,13960,4264
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,16594,4189
G.I. HEMORRHAGE W CC,378,19109,6064
G.I. HEMORRHAGE W MCC,377,33145,10315
G.I. HEMORRHAGE W/O CC/MCC,379,13864,4264
G.I. OBSTRUCTION W CC,389,22020,5745
G.I. OBSTRUCTION W/O CC/MCC,390,16244,3845
HEART FAILURE & SHOCK W CC,292,20768,6379
HEART FAILURE & SHOCK W MCC,291,28138,8809
HEART FAILURE & SHOCK W/O CC/MCC,293,13327,4155
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,56427,11045
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,75563,19349
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,46239,8837
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,122579,34318
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,25504,6956
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,37488,11064
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,19675,4855
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,22834,7101
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,16914,4800
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,47788,10004
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,36060,6824
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,102302,20014
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,26352,7763
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,85041,20451
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,53915,12455
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,63030,15121
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,160609,41022
MEDICAL BACK PROBLEMS W/O MCC,552,19544,4845
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,20623,6776
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,15864,4174
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,15930,5740
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,35301,10517
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,25794,6356
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,21606,5907
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,30234,9155
OTHER VASCULAR PROCEDURES W CC,253,59813,15592
OTHER VASCULAR PROCEDURES W MCC,252,61558,17909
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,38400,9457
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,110111,20297
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,87526,12945
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,73418,10377
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,63578,11117
PERIPHERAL VASCULAR DISORDERS W CC,300,24743,5820
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,50103,15021
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,43695,13054
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,25631,8579
PULMONARY EDEMA & RESPIRATORY FAILURE,189,24347,7882
PULMONARY EMBOLISM W/O MCC,176,22824,6830
RED BLOOD CELL DISORDERS W MCC,811,32001,8088
RED BLOOD CELL DISORDERS W/O MCC,812,19742,4875
RENAL FAILURE W CC,683,19469,6037
RENAL FAILURE W MCC,682,25303,9479
RENAL FAILURE W/O CC/MCC,684,13204,3918
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,39251,11307
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,59026,15227
SEIZURES W/O MCC,101,16476,4554
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,210297,52515
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,42006,11748
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,26541,7124
SIGNS & SYMPTOMS W/O MCC,948,16720,4116
SIMPLE PNEUMONIA & PLEURISY W CC,194,26671,6247
SIMPLE PNEUMONIA & PLEURISY W MCC,193,30021,8579
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,17312,4321
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,143320,26274
SYNCOPE & COLLAPSE,312,14740,4272
TRANSIENT ISCHEMIA,069,18478,4334
