description,code,avgCoveredCharges,averagePayments
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,10458,4562
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,16354,8606
HEART FAILURE & SHOCK W CC,292,20302,7413
HEART FAILURE & SHOCK W MCC,291,36127,10958
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,18613,5697
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,8890,4508
PSYCHOSES,885,14282,6606
PULMONARY EDEMA & RESPIRATORY FAILURE,189,24388,9292
RENAL FAILURE W CC,683,20534,7154
RENAL FAILURE W MCC,682,25827,11730
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,53920,17437
SIMPLE PNEUMONIA & PLEURISY W MCC,193,26081,10915
