city,avgCoveredCharges,averagePayments
ABERDEEN,11638,3713
ANACORTES,7631,3585
AUBURN,18500,3825
BELLEVUE,10778,4065
BELLINGHAM,14516,3763
BREMERTON,17487,4700
BURIEN,13198,3682
CENTRALIA,22267,3920
EDMONDS,14034,3785
EVERETT,16906,3753
FEDERAL WAY,19123,4027
GIG HARBOR,20218,4834
KIRKLAND,10317,3591
LAKEWOOD,20385,3879
MOUNT VERNON,20458,3731
OLYMPIA,16092,3826
PORT ANGELES,6400,3576
PUYALLUP,22079,3919
RENTON,10830,4167
RICHLAND,17437,3875
SEATTLE,14022,4913
SPOKANE,17927,4244
TACOMA,21454,4242
VANCOUVER,14467,3992
WENATCHEE,12268,3756
YAKIMA,8313,3754
