city,avgCoveredCharges,averagePayments
ABERDEEN,25060,9025
ANACORTES,16154,8291
ARLINGTON,16953,8495
AUBURN,31400,8586
BELLEVUE,29981,9627
BELLINGHAM,29492,9822
BREMERTON,41248,10804
BURIEN,33198,9618
CENTRALIA,35164,10058
EDMONDS,35110,9307
EVERETT,35633,11074
FEDERAL WAY,37354,8925
GIG HARBOR,37612,9391
KENNEWICK,23540,7914
KIRKLAND,32165,9834
LAKEWOOD,36860,7777
LONGVIEW,24890,9469
MONROE,20166,8823
MOSES LAKE,17234,9058
MOUNT VERNON,30117,8383
OLYMPIA,45432,10831
PORT ANGELES,14717,8236
PUYALLUP,46028,9480
RENTON,34045,10880
RICHLAND,29176,10008
SEATTLE,40822,13105
SPOKANE,35448,11444
TACOMA,46690,10995
TOPPENISH,19153,7720
VANCOUVER,31679,10163
WALLA WALLA,29047,10170
WENATCHEE,25910,10596
YAKIMA,25155,9032
