description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,22326,5352
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11577,3813
CELLULITIS W/O MCC,603,16908,5351
CERVICAL SPINAL FUSION W/O CC/MCC,473,57478,14343
CHEST PAIN,313,12723,3586
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,19132,6219
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,16084,7318
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,16471,4692
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,16241,5073
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,37159,6511
G.I. HEMORRHAGE W CC,378,24898,6410
G.I. OBSTRUCTION W/O CC/MCC,390,16297,4066
HEART FAILURE & SHOCK W CC,292,23790,6334
HEART FAILURE & SHOCK W/O CC/MCC,293,23548,4375
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,18337,5651
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,97811,19710
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,60191,13953
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,111412,22114
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,25788,4525
OTHER VASCULAR PROCEDURES W CC,253,78324,15947
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,68280,14133
PULMONARY EDEMA & RESPIRATORY FAILURE,189,32884,10059
RED BLOOD CELL DISORDERS W/O MCC,812,14250,5087
RENAL FAILURE W CC,683,20795,6378
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,36695,11415
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,15288,7130
SIGNS & SYMPTOMS W/O MCC,948,18581,4386
SIMPLE PNEUMONIA & PLEURISY W CC,194,17889,6452
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,13270,4369
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,107867,25662
