description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,26636,9040
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,39837,14468
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,21154,6007
ATHEROSCLEROSIS W/O MCC,303,14985,4570
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,15947,7290
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,13966,6727
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,31215,9756
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10818,4534
CELLULITIS W MCC,602,35310,11173
CELLULITIS W/O MCC,603,16021,6397
CERVICAL SPINAL FUSION W/O CC/MCC,473,43416,15860
CHEST PAIN,313,21384,4529
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22898,7580
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,28159,9343
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,16019,5433
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,45662,17869
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,35312,9638
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,23778,6433
DIABETES W CC,638,16427,6169
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,20839,8703
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,18372,6035
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,24929,7855
FRACTURES OF HIP & PELVIS W/O MCC,536,11631,5264
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,21562,5509
G.I. HEMORRHAGE W CC,378,27329,8255
G.I. HEMORRHAGE W MCC,377,34646,13090
G.I. OBSTRUCTION W CC,389,17544,7470
