description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,44604,8224
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,71907,13268
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,34976,6076
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,28255,4562
ATHEROSCLEROSIS W/O MCC,303,19915,4121
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,38769,7313
BRONCHITIS & ASTHMA W CC/MCC,202,28607,6724
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,26311,5939
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,44125,9142
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,21580,4286
CELLULITIS W MCC,602,52114,10359
CELLULITIS W/O MCC,603,32894,5938
CERVICAL SPINAL FUSION W/O CC/MCC,473,87481,15355
CHEST PAIN,313,22804,3965
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,34736,8010
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,37586,8875
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,26249,5273
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,94769,18482
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,45729,8414
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,27090,7528
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,37973,6597
DIABETES W CC,638,31269,5750
DYSEQUILIBRIUM,149,29638,4478
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,57114,10611
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,28559,5485
FRACTURES OF HIP & PELVIS W/O MCC,536,27429,5387
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,25366,5019
G.I. HEMORRHAGE W CC,378,32405,7193
G.I. HEMORRHAGE W MCC,377,60797,13088
G.I. HEMORRHAGE W/O CC/MCC,379,24213,5051
G.I. OBSTRUCTION W CC,389,37450,6665
G.I. OBSTRUCTION W/O CC/MCC,390,24490,4601
HEART FAILURE & SHOCK W CC,292,33354,8037
HEART FAILURE & SHOCK W MCC,291,44812,10390
HEART FAILURE & SHOCK W/O CC/MCC,293,20551,4802
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,66588,15263
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,59376,11291
HYPERTENSION W/O MCC,305,33400,4363
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,187109,42074
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,42991,8215
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,52470,13456
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,30835,6158
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,37343,8543
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,28448,5710
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,66319,15454
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,114942,23361
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,41281,8688
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,156428,31801
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,74259,16737
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,102944,22549
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,223078,44012
MEDICAL BACK PROBLEMS W/O MCC,552,28399,7456
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,31992,8019
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,27929,5249
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,30062,7913
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,52525,12873
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,33022,7004
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,22950,6724
OTHER VASCULAR PROCEDURES W CC,253,125585,21248
OTHER VASCULAR PROCEDURES W MCC,252,118156,27611
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,106731,22251
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,76536,14539
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,72447,12463
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,61213,12552
PERIPHERAL VASCULAR DISORDERS W CC,300,31209,6788
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,85638,18510
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,67156,17365
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,40592,10576
