description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,14308,4767
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,19087,6989
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9958,3540
CELLULITIS W/O MCC,603,16580,4677
CHEST PAIN,313,13464,3118
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,15939,5411
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,18127,4033
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,25960,5789
G.I. HEMORRHAGE W CC,378,22530,5629
G.I. OBSTRUCTION W CC,389,16106,5390
HEART FAILURE & SHOCK W CC,292,17133,5713
HEART FAILURE & SHOCK W/O CC/MCC,293,10590,4814
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,38475,10562
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,62670,26794
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,27420,6238
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,15041,4259
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,54473,17508
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,48088,12884
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,49068,14447
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,15212,3929
OTHER VASCULAR PROCEDURES W CC,253,50158,14047
OTHER VASCULAR PROCEDURES W MCC,252,75450,18451
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,37967,9167
RED BLOOD CELL DISORDERS W/O MCC,812,12805,4532
RENAL FAILURE W CC,683,19218,5676
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,26269,10022
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,19609,7212
SIGNS & SYMPTOMS W/O MCC,948,18366,7009
SIMPLE PNEUMONIA & PLEURISY W CC,194,16708,5673
SIMPLE PNEUMONIA & PLEURISY W MCC,193,31382,8413
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,15940,4634
