city,avgCoveredCharges,averagePayments
APPLETON,13031,7215
BELOIT,27762,7336
BURLINGTON,19087,6989
EAU CLAIRE,19519,7876
FOND DU LAC,24745,7439
FORT ATKINSON,21632,6747
GREEN BAY,18288,7331
JANESVILLE,21089,7667
KENOSHA,26358,7658
LA CROSSE,19467,9322
MADISON,26425,9583
MANITOWOC,18952,6899
MARINETTE,20595,7009
MARSHFIELD,18579,10114
MEQUON,37727,8707
MILWAUKEE,29946,9946
OCONOMOWOC,18925,7141
RACINE,23310,9017
RHINELANDER,19442,7747
RICE LAKE,12921,7343
WAUKESHA,20034,7528
WAUSAU,18877,7361
WEST ALLIS,25882,7569
WESTON,10119,7070
WISCONSIN RAPID,16476,8104
WOODRUFF,19760,8759
