city,avgCoveredCharges,averagePayments
APPLETON,16504,7251
BARABOO,21049,7032
BEAVER DAM,27722,6999
BELOIT,32559,7083
BROOKFIELD,19444,6727
BURLINGTON,19609,7212
EAU CLAIRE,20449,7023
ELKHORN,18997,7725
FOND DU LAC,20213,6669
FORT ATKINSON,14431,6572
FRANKLIN,21860,6017
GRAFTON,19282,6362
GREEN BAY,16504,7080
HARTFORD,18528,6691
JANESVILLE,21524,7225
KENOSHA,23299,7100
LA CROSSE,19786,7613
MADISON,27934,9006
MANITOWOC,15797,6463
MARINETTE,14506,6482
MARSHFIELD,23538,8854
MAUSTON,19628,7406
MENOMONEE FALLS,23086,6876
MEQUON,24104,6495
MILWAUKEE,24583,9146
MONROE,18492,6769
NEENAH,12884,6784
OSHKOSH,12107,6472
RACINE,13378,7656
RHINELANDER,14565,7083
RICE LAKE,11606,5720
SHEBOYGAN,14958,6067
STEVENS POINT,13706,6447
SUMMIT,17209,5934
WATERTOWN,16363,7398
WAUKESHA,19850,7623
WAUSAU,17126,6912
WEST ALLIS,27497,6731
WEST BEND,23605,6874
WESTON,12590,6740
WISCONSIN RAPID,12725,7317
WOODRUFF,20117,7782
