description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,15754,5385
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11520,3616
CELLULITIS W/O MCC,603,16557,5249
CHEST PAIN,313,20590,3483
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,18461,6168
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,25728,7560
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11742,4575
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,18385,4853
G.I. HEMORRHAGE W CC,378,20430,6510
G.I. HEMORRHAGE W/O CC/MCC,379,18117,4529
G.I. OBSTRUCTION W CC,389,21360,5816
HEART FAILURE & SHOCK W CC,292,18429,7124
HEART FAILURE & SHOCK W MCC,291,34269,9474
HEART FAILURE & SHOCK W/O CC/MCC,293,12836,4358
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,45398,11838
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,35713,10240
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,27677,5186
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,16409,4984
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,54640,14908
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,58160,18349
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,27561,7212
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12430,4340
PULMONARY EMBOLISM W/O MCC,176,22870,7015
RED BLOOD CELL DISORDERS W/O MCC,812,15200,5048
RENAL FAILURE W MCC,682,33045,10310
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,30403,9438
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,42032,12528
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,25195,7200
SIGNS & SYMPTOMS W/O MCC,948,18100,4905
SIMPLE PNEUMONIA & PLEURISY W CC,194,22834,6674
SIMPLE PNEUMONIA & PLEURISY W MCC,193,33331,10081
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,12854,4558
SYNCOPE & COLLAPSE,312,22468,5621
TRANSIENT ISCHEMIA,069,26278,6158
