description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,19608,8238
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,28421,12410
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,17802,5370
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,11195,4295
ATHEROSCLEROSIS W/O MCC,303,12694,3881
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,21202,6544
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,12227,5527
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,17242,9136
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9681,4092
CELLULITIS W/O MCC,603,14039,5801
CHEST PAIN,313,12464,3665
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,13966,6530
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,23073,8038
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,22317,6758
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,26086,7736
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,23342,8230
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,15111,5102
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,19126,6634
G.I. HEMORRHAGE W CC,378,22442,7055
G.I. HEMORRHAGE W MCC,377,28586,11309
G.I. OBSTRUCTION W CC,389,18597,6643
G.I. OBSTRUCTION W/O CC/MCC,390,11976,4423
HEART FAILURE & SHOCK W CC,292,17862,6778
HEART FAILURE & SHOCK W MCC,291,19397,9858
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,31914,12092
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,55931,19504
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,28439,10043
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,44260,28650
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,17004,7729
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,30289,12236
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,13522,5380
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,12850,5244
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,38732,11268
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,51019,21354
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,49681,22365
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,27008,14049
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,52254,17488
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,64621,33346
MEDICAL BACK PROBLEMS W/O MCC,552,19359,6999
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,20050,7591
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,16489,4648
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,34118,14556
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,24500,6805
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,10935,6513
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,17631,9812
OTHER VASCULAR PROCEDURES W CC,253,42498,15858
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,31980,11609
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,28950,17085
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,29926,10382
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,19833,4380
PSYCHOSES,885,17981,6657
PULMONARY EDEMA & RESPIRATORY FAILURE,189,19773,8467
PULMONARY EMBOLISM W/O MCC,176,13474,7080
RENAL FAILURE W CC,683,18706,7616
RENAL FAILURE W MCC,682,29301,10586
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,18982,9259
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,37830,15319
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,27237,12292
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,20438,7635
SIGNS & SYMPTOMS W/O MCC,948,16546,5992
SIMPLE PNEUMONIA & PLEURISY W CC,194,14087,6589
SIMPLE PNEUMONIA & PLEURISY W MCC,193,21093,9213
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9574,4696
SYNCOPE & COLLAPSE,312,9000,4739
