description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,16029,6450
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,24067,9937
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,12996,4417
ATHEROSCLEROSIS W/O MCC,303,9335,3270
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,37047,5426
BRONCHITIS & ASTHMA W CC/MCC,202,11360,4728
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,11645,4705
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,19103,7163
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8839,3214
CELLULITIS W MCC,602,16086,8092
CELLULITIS W/O MCC,603,8107,4628
CERVICAL SPINAL FUSION W/O CC/MCC,473,62529,15578
CHEST PAIN,313,9563,3228
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,11292,5450
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,15706,6930
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,7944,4086
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,28903,13834
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,19410,6468
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,12645,4828
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,9720,5424
DIABETES W CC,638,8777,5009
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,12185,5548
DYSEQUILIBRIUM,149,11051,3588
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,17288,6691
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10920,4134
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,20866,5720
FRACTURES OF HIP & PELVIS W/O MCC,536,6917,3548
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,6646,3876
G.I. HEMORRHAGE W CC,378,14538,5842
G.I. HEMORRHAGE W MCC,377,20236,9834
G.I. HEMORRHAGE W/O CC/MCC,379,6131,4008
G.I. OBSTRUCTION W CC,389,10190,4880
G.I. OBSTRUCTION W/O CC/MCC,390,7773,3515
HEART FAILURE & SHOCK W CC,292,10931,5781
HEART FAILURE & SHOCK W MCC,291,19896,8626
HEART FAILURE & SHOCK W/O CC/MCC,293,8611,3878
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,31840,10491
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,46827,16799
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,27663,8300
HYPERTENSION W/O MCC,305,7226,3442
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,64957,31217
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,15228,6428
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,24956,10085
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,13971,4605
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,14999,7028
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9020,4404
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,26759,10429
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,24963,6571
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,77223,20480
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,16711,7140
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,47257,11721
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,42870,14381
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,80136,29704
MEDICAL BACK PROBLEMS W/O MCC,552,12137,4686
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,17459,6382
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,7749,3812
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,10283,5671
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,25358,10396
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,11783,5398
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,11330,5912
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,19386,9511
OTHER VASCULAR PROCEDURES W CC,253,44040,13734
OTHER VASCULAR PROCEDURES W MCC,252,43482,17119
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,27763,9066
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,70091,19616
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,51957,11621
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,40158,9956
PERIPHERAL VASCULAR DISORDERS W CC,300,10343,5241
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,9023,3540
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,48872,14870
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,7153,3966
PULMONARY EDEMA & RESPIRATORY FAILURE,189,15005,7374
PULMONARY EMBOLISM W/O MCC,176,17321,6120
RED BLOOD CELL DISORDERS W MCC,811,18960,7281
RED BLOOD CELL DISORDERS W/O MCC,812,12475,4461
RENAL FAILURE W CC,683,11753,5822
RENAL FAILURE W MCC,682,26718,9807
RENAL FAILURE W/O CC/MCC,684,5901,3684
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,19244,8145
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,25362,11260
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,87225,31708
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,33409,12876
SEIZURES W/O MCC,101,10287,4227
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,87059,33233
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,27850,10916
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,14488,6537
SIGNS & SYMPTOMS W/O MCC,948,7278,3710
SIMPLE PNEUMONIA & PLEURISY W CC,194,12439,5619
SIMPLE PNEUMONIA & PLEURISY W MCC,193,18985,8457
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,10167,3985
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,117926,30818
SYNCOPE & COLLAPSE,312,10413,4113
TRANSIENT ISCHEMIA,069,11120,4101
