city,avgCoveredCharges,averagePayments
BECKLEY,15567,8321
BLUEFIELD,20751,8457
BRIDGEPORT,16692,8755
CHARLESTON,19538,8592
ELKINS,12300,7925
FAIRMONT,19869,7914
GLEN DALE,15570,7735
HUNTINGTON,25929,10356
HURRICANE,18251,7602
LOGAN,33979,9391
MARTINSBURG,18311,9279
MORGANTOWN,27453,9981
PARKERSBURG,23820,7784
PRINCETON,20030,8010
RIPLEY,25170,7956
RONCEVERTE,11993,8943
SOUTH CHARLESTO,32478,8060
SUMMERSVILLE,14232,9144
WEIRTON,16206,7251
WESTON,19148,7831
WHEELING,17376,7990
WILLIAMSON,18267,9037
