city,avgCoveredCharges,averagePayments
BECKLEY,7286,3856
BLUEFIELD,7449,4064
BRIDGEPORT,7968,4096
BUCKHANNON,9266,4200
CHARLESTON,14381,4530
ELKINS,6338,3728
FAIRMONT,10656,3778
GLEN DALE,7395,3605
HUNTINGTON,11487,4769
HURRICANE,9341,3738
LOGAN,12408,4542
MARTINSBURG,7504,4427
MORGANTOWN,10847,4684
NEW MARTINSVILL,13215,3707
PARKERSBURG,11272,3553
POINT PLEASANT,13155,3624
PRINCETON,7190,3779
RIPLEY,7623,3943
RONCEVERTE,9731,4202
SOUTH CHARLESTO,9572,3832
WEIRTON,6899,3286
WELCH,6433,8117
WESTON,4998,3856
WHEELING,8826,3913
WILLIAMSON,9751,4220
