description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,10753,5396
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,12464,5841
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,5328,2811
CELLULITIS W/O MCC,603,9320,4271
CHEST PAIN,313,5818,2708
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,13337,4793
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,11573,5748
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,9132,3668
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,16483,5356
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,9142,3532
G.I. HEMORRHAGE W CC,378,8807,5522
HEART FAILURE & SHOCK W CC,292,9176,4877
HEART FAILURE & SHOCK W MCC,291,19537,7386
HEART FAILURE & SHOCK W/O CC/MCC,293,6016,3374
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,7332,3872
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,28742,10832
MEDICAL BACK PROBLEMS W/O MCC,552,10660,4384
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,48284,16026
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,40785,10006
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,33674,8515
RED BLOOD CELL DISORDERS W/O MCC,812,6534,3918
RENAL FAILURE W CC,683,9851,5252
RENAL FAILURE W MCC,682,29870,9413
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,39788,20436
SIMPLE PNEUMONIA & PLEURISY W CC,194,14476,5646
SIMPLE PNEUMONIA & PLEURISY W MCC,193,17648,7256
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,7750,3512
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,72359,21134
SYNCOPE & COLLAPSE,312,7653,3950
TRANSIENT ISCHEMIA,069,8025,3600
