description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,21822,11223
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,39549,16227
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,34176,7807
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,16874,5592
ATHEROSCLEROSIS W/O MCC,303,13818,5075
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,62353,9821
BRONCHITIS & ASTHMA W CC/MCC,202,20807,7340
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,14438,7302
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,38429,14968
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9255,5311
CELLULITIS W/O MCC,603,18907,7792
CERVICAL SPINAL FUSION W/O CC/MCC,473,73682,24458
CHEST PAIN,313,13894,4788
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,17477,8414
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,23168,10536
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,14404,6983
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,41670,17428
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,28702,9613
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,16100,8140
DIABETES W CC,638,15464,7404
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,16431,8783
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,19350,6734
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,28266,9931
FRACTURES OF HIP & PELVIS W/O MCC,536,10185,6043
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,10400,6072
G.I. HEMORRHAGE W CC,378,16931,8866
G.I. HEMORRHAGE W MCC,377,37271,15750
G.I. HEMORRHAGE W/O CC/MCC,379,14292,6169
G.I. OBSTRUCTION W CC,389,26828,8136
G.I. OBSTRUCTION W/O CC/MCC,390,22671,5831
HEART FAILURE & SHOCK W CC,292,14510,8909
HEART FAILURE & SHOCK W MCC,291,24145,13012
HEART FAILURE & SHOCK W/O CC/MCC,293,12868,5968
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,38884,16117
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,32613,13350
HYPERTENSION W/O MCC,305,14144,5345
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,19621,10094
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,40289,16400
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,23750,7147
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,25499,10287
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,17383,6816
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,38135,14800
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,25486,10182
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,85015,27385
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,28051,10638
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,51423,19956
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,57182,24046
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,113990,52792
MEDICAL BACK PROBLEMS W/O MCC,552,18984,7130
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,19738,9930
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13856,5952
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,24047,8655
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,47067,15331
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,92431,33137
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,55499,17856
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,75761,22549
PERIPHERAL VASCULAR DISORDERS W CC,300,28879,14281
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,12866,5673
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,68693,25059
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,42986,17752
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,10357,5421
PULMONARY EDEMA & RESPIRATORY FAILURE,189,29324,11476
PULMONARY EMBOLISM W/O MCC,176,20961,9164
RED BLOOD CELL DISORDERS W/O MCC,812,13613,7316
RENAL FAILURE W CC,683,18246,8919
RENAL FAILURE W MCC,682,35310,15643
RENAL FAILURE W/O CC/MCC,684,12669,5736
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,32777,12962
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,42939,21453
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,55108,20744
SEIZURES W/O MCC,101,12401,6721
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,38616,18001
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,22248,9978
SIGNS & SYMPTOMS W/O MCC,948,13113,5975
SIMPLE PNEUMONIA & PLEURISY W CC,194,23248,9455
SIMPLE PNEUMONIA & PLEURISY W MCC,193,32389,12918
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,16505,6264
