description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10638,5040
CHEST PAIN,313,8549,4570
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,12380,5973
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14872,5886
G.I. HEMORRHAGE W CC,378,12299,8342
HEART FAILURE & SHOCK W CC,292,20299,8454
HEART FAILURE & SHOCK W MCC,291,29540,11959
HEART FAILURE & SHOCK W/O CC/MCC,293,11349,5540
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13463,6340
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,54994,19532
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11177,5675
SIMPLE PNEUMONIA & PLEURISY W CC,194,25437,8798
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,18152,6573
